"Numer RSPO";"REGON";"NIP";"Typ";"Nazwa";"Kod terytorialny województwo";"Kod terytorialny powiat";"Kod terytorialny gmina";"Kod terytorialny miejscowość";"Kod terytorialny ulica";"Województwo";"Powiat";"Gmina";"Miejscowość";"Rodzaj miejscowości";"Ulica";"Numer budynku";"Numer lokalu";"Kod pocztowy";"Poczta";"Telefon";"Faks";"E-mail";"Strona www";"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Data założenia";"Data rozpoczęcia działalności";"Data likwidacji";"Typ organu prowadzącego";"Nazwa organu prowadzącego";"REGON organu prowadzącego";"NIP organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego";"Miejsce w strukturze";"RSPO podmiotu nadrzędnego";"Typ podmiotu nadrzędnego";"Nazwa podmiotu nadrzędnego";"Liczba uczniów";"Tereny sportowe";"Języki nauczane";"Czy zatrudnia logopedę";"Czy zatrudnia psychologa";"Czy zatrudnia pedagoga";"Oddziały podstawowe wg specyfiki";"Oddziały dodatkowe";"Zawód";"Zawód artystyczny";"Zawód w KPSS";"Dziedzina BCU"
"264094";"=""368262717""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA MONTESSORI W RYMANOWIE";"=""18""";"=""1807""";"=""1807084""";"=""0953421""";"=""16111""";"PODKARPACKIE";"krośnieński";"Rymanów";"Rymanów";"miasto";"ul. Piekarska";"=""3""";"";"=""38-480""";"Rymanów";"=""795961781""";"";"biuro@montessori-rymanow.pl";"www.montessori-rymanow.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"Alicja Godzik";"2017.09.01";"2017.09.01";"";"Osoba fizyczna";"GODZIK ALICJA";"";"";"PODKARPACKIE";"krośnieński";"Rymanów";"samodzielna";"";"";"";"10";"";"angielski";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"127932";"=""361981952""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA MONTESSORI W RZESZOWIE";"=""18""";"=""1863""";"=""1863011""";"=""0974133""";"=""09136""";"PODKARPACKIE";"Rzeszów";"Rzeszów";"Rzeszów";"miasto";"ul. Konfederatów Barskich";"=""40b""";"";"=""35-321""";"Rzeszów";"=""502125991""";"";"montessori.rz@gmail.com";"www.montessori-rzeszow.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"AGNIESZKA KRZYWDZIK";"2015.06.29";"2015.09.01";"";"Osoba fizyczna";"Krzywdzik Agnieszka";"";"";"PODKARPACKIE";"Rzeszów";"Rzeszów";"samodzielna";"";"";"";"166";"boiska do piłki nożnej";"angielski, francuski, hiszpański";"Nie";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"268619";"=""381218815""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA MONTESSORI W TORUNIU";"=""04""";"=""0463""";"=""0463011""";"=""0982724""";"=""17394""";"KUJAWSKO-POMORSKIE";"Toruń";"Toruń";"Toruń";"miasto";"ul. Poznańska";"=""57-59""";"";"=""87-100""";"Toruń";"=""607177017""";"";"kontakt@montessoritorun.pl";"www.montessoritorun.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"JUSTYNA MYTLEWSKA";"2018.08.31";"2018.09.01";"";"Spółki Handlowe";"KREATYWNY ROZWÓJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""380845697""";"=""9562337519""";"KUJAWSKO-POMORSKIE";"Toruń";"Toruń";"samodzielna";"";"";"";"40";"";"angielski, hiszpański";"Nie";"Nie";"Nie";"ogólnodostępny";"";"";"";"";""
"131369";"=""365134172""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA MONTESSORI W WIELICZCE";"=""12""";"=""1219""";"=""1219054""";"=""0952232""";"=""07335""";"MAŁOPOLSKIE";"wielicki";"Wieliczka";"Wieliczka";"miasto";"ul. Jasna";"=""24""";"";"=""32-020""";"Wieliczka";"=""602308315""";"";"info@montessoriszkola.pl";"www.montessoriszkola.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"Mieszko Lambor";"2016.08.10";"2016.09.01";"";"Spółki Handlowe";"LAMBOR EDUKACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""527378294""";"=""6832134694""";"MAŁOPOLSKIE";"wielicki";"Wieliczka";"samodzielna";"";"";"";"126";"";"angielski, hiszpański, włoski";"Tak";"Tak";"Nie";"ogólnodostępny, integracyjny";"";"";"";"";""
"118415";"=""022207155""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA MONTESSORI WE WROCŁAWIU";"=""02""";"=""0264""";"=""0264039""";"=""0986544""";"=""19844""";"DOLNOŚLĄSKIE";"Wrocław";"Wrocław-Krzyki";"Wrocław-Krzyki";"delegatura";"ul. Sieradzka";"=""5""";"";"=""50-568""";"Wrocław";"=""512150140""";"";"sekretariat@szkola-montessori.com.pl";"www.szkola-montessori.com.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"";"2013.07.22";"2013.09.01";"";"Fundacje";"FUNDACJA WYCHOWANIE DLA PRZYSZŁOŚCI";"=""022266672""";"";"DOLNOŚLĄSKIE";"Wrocław";"Wrocław-Krzyki";"samodzielna";"";"";"";"146";"";"angielski, hiszpański, niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny, integracyjny";"";"";"";"";""
"483895";"=""542274522""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA MORE THAN SCHOOL";"=""14""";"=""1462""";"=""1462011""";"=""0968687""";"=""05948""";"MAZOWIECKIE";"Płock";"Płock";"Płock";"miasto";"ul. Górna";"=""30""";"";"=""09-402""";"Płock";"=""570970296""";"";"nsp.more.than.school@gmail.com";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ANNA WAŁOWSKA";"2025.07.21";"2025.09.01";"";"Spółki Handlowe";"MORE THAN SCHOOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""541818581""";"=""5253047431""";"MAZOWIECKIE";"Warszawa";"Śródmieście";"samodzielna";"";"";"";"32";"";"angielski, hiszpański";"Tak";"Nie";"Tak";"ogólnodostępny";"";"";"";"";""
"273509";"=""384482300""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA MOST";"=""14""";"=""1405""";"=""1405045""";"=""0002453""";"=""36719""";"MAZOWIECKIE";"grodziski";"Grodzisk Mazowiecki";"Opypy";"wieś";"ul. gen. Z. Gilewicza";"=""2""";"";"=""05-825""";"Opypy";"=""515580150""";"";"kontakt@most.edu.pl";"www.most.edu.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"PAULINA MILONAS";"2019.09.27";"2020.09.01";"";"Fundacje";"FUNDACJA MOSTY EDUKACJI";"=""384013746""";"=""5291827243""";"MAZOWIECKIE";"grodziski";"Grodzisk Mazowiecki";"samodzielna";"";"";"";"156";"";"angielski";"Tak";"Tak";"Tak";"ogólnodostępny, integracyjny, specjalny";"";"";"";"";""
"263208";"=""368134882""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA MOZAIKA W BIAŁYMSTOKU";"=""20""";"=""2061""";"=""2061011""";"=""0922410""";"=""12740""";"PODLASKIE";"Białystok";"Białystok";"Białystok";"miasto";"ul. Adama Mickiewicza";"=""50""";"";"=""15-213""";"Białystok";"=""512113000""";"";"mozaika.bialystok@moz.edu.pl";"http://www.mozaikabialystok.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"EDYTA HARASIMCZUK";"2017.08.30";"2017.09.01";"";"Fundacje";"FUNDACJA GRA W KLASY";"=""366855927""";"=""9662110821""";"PODLASKIE";"Białystok";"Białystok";"samodzielna";"";"";"";"88";"";"angielski, hiszpański";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"128602";"=""362332859""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA MYVINCI SCHOOL";"=""14""";"=""1465""";"=""1465058""";"=""0918130""";"=""03403""";"MAZOWIECKIE";"Warszawa";"Mokotów";"Mokotów";"dzielnica m.st. Warszawy";"ul. Czerska";"=""14""";"";"=""00-732""";"Warszawa";"=""533334541""";"";"sekretariat@myvinci.edu.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"KATARZYNA ELJASZ";"2015.08.27";"2015.09.01";"";"Spółki Handlowe";"NEOBRIT EDUCATIONS LIMITED (SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ) ODDZIAŁ W POLSCE";"=""145802537""";"";"MAZOWIECKIE";"otwocki";"Józefów";"samodzielna";"";"";"";"116";"";"angielski, hiszpański";"Nie";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"484777";"=""543080062""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NAD JEZIOREM";"=""24""";"=""2465""";"=""2465011""";"=""0939473""";"=""11620""";"ŚLĄSKIE";"Dąbrowa Górnicza";"Dąbrowa Górnicza";"Dąbrowa Górnicza";"miasto";"ul. Łęknice";"=""7""";"";"=""41-303""";"Dąbrowa Górnicza";"=""883153401""";"";"dyrekcja@nadjeziorem.edu.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"";"2025.09.01";"2026.09.01";"";"Spółki Handlowe";"GRANDPROFI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""388885963""";"=""6292500065""";"ŚLĄSKIE";"Dąbrowa Górnicza";"Dąbrowa Górnicza";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"269054";"=""381345910""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NIEBIESKA 21";"=""18""";"=""1861""";"=""1861011""";"=""0952410""";"=""03232""";"PODKARPACKIE";"Krosno";"Krosno";"Krosno";"miasto";"ul. Feliksa Czajkowskiego";"=""51""";"";"=""38-400""";"Krosno";"=""780151434""";"";"sekretariat@niebieska21.pl";"www.niebieska21.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"RENATA KOPACZ";"2018.08.23";"2019.09.01";"";"Spółki Handlowe";"NIEBIESKA 21 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""380185730""";"=""6842649342""";"PODKARPACKIE";"Krosno";"Krosno";"samodzielna";"";"";"";"124";"boiska uniwersalne/wielozadaniowe";"angielski";"Tak";"Tak";"Tak";"ogólnodostępny, integracyjny, specjalny";"";"";"";"";""
"278192";"=""389873442""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NIZIOŁKI WE WROCŁAWIU";"=""02""";"=""0264""";"=""0264049""";"=""0986745""";"=""14929""";"DOLNOŚLĄSKIE";"Wrocław";"Wrocław-Psie Pole";"Wrocław-Psie Pole";"delegatura";"ul. gen. Leopolda Okulickiego";"=""14""";"";"=""51-216""";"Wrocław";"=""603623071""";"";"kontakt@niziolki.pl";"niziolki.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"";"2021.08.31";"2021.09.01";"";"Osoba fizyczna";"Florczak Agnieszka";"";"";"DOLNOŚLĄSKIE";"wrocławski";"Długołęka";"samodzielna";"";"";"";"139";"";"angielski, hiszpański";"Nie";"Tak";"Nie";"ogólnodostępny, integracyjny";"Wczesne wspomaganie rozwoju";"";"";"";""
"127603";"=""361747080""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NOVUM W SKIERNIEWICACH";"=""10""";"=""1063""";"=""1063011""";"=""0976942""";"=""23620""";"ŁÓDZKIE";"Skierniewice";"Skierniewice";"Skierniewice";"miasto";"ul. Melchiora Wańkowicza";"=""9""";"";"=""96-100""";"Skierniewice";"=""468332885""";"=""468332885""";"milgim@poczta.onet.pl";"www.szkołamilenium.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"";"2015.06.09";"2015.09.01";"";"Osoba fizyczna";"LIPIŃSKA BARBARA EWA";"";"";"ŁÓDZKIE";"Skierniewice";"Skierniewice";"szkoła/placówka wchodząca w skład jednostki złożonej";"85838";"Zespół szkół i placówek oświatowych";"CENTRUM EDUKACJI ""MILENIUM""";"40";"";"angielski, rosyjski";"Nie";"Nie";"Tak";"ogólnodostępny";"";"";"";"";""
"483989";"=""542402316""";"=""1231568758""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NOWA AKADEMIKA";"=""14""";"=""1421""";"=""1421011""";"=""0921496""";"=""17149""";"MAZOWIECKIE";"pruszkowski";"Piastów";"Piastów";"miasto";"ul. ks. Jerzego Popiełuszki";"=""12""";"";"=""05-820""";"Piastów";"=""513720742""";"";"info@nowaakademika.com";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ANNA KUBIAK";"2025.08.01";"2025.09.01";"";"Spółki Handlowe";"NOWA AKADEMIKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""540157083""";"=""1231568758""";"MAZOWIECKIE";"pruszkowski";"Piastów";"samodzielna";"";"";"";"79";"";"angielski";"Nie";"Nie";"Tak";"ogólnodostępny";"";"";"";"";""
"484167";"=""542537039""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NOWA SZKOŁA";"=""14""";"=""1465""";"=""1465068""";"=""0918643""";"=""45207""";"MAZOWIECKIE";"Warszawa";"Ochota";"Ochota";"dzielnica m.st. Warszawy";"al. Aleje Jerozolimskie";"=""179""";"";"=""02-222""";"Warszawa";"=""577563227""";"";"director@warsaw.nezlamna.org";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"BOŻENA KONICZUK";"2025.08.25";"2025.09.01";"";"Spółki Handlowe";"NIEPUBLICZNY ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH „NOWA SZKOŁA” SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""541643124""";"=""7011258438""";"MAZOWIECKIE";"Warszawa";"Ochota";"samodzielna";"";"";"";"279";"";"angielski";"Nie";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"5515";"=""221730210""";"=""5862242577""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NOWA SZKOŁA SOPOT";"=""22""";"=""2264""";"=""2264011""";"=""0934783""";"=""19335""";"POMORSKIE";"Sopot";"Sopot";"Sopot";"miasto";"ul. Rzemieślnicza";"=""33""";"";"=""81-855""";"Sopot";"=""721555775""";"";"sekretariat@nowaszkolasopot.pl";"www.nowaszkolasopot.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"AGNIESZKA GOS-JÓŹWIK";"2010.09.01";"2010.09.01";"";"Spółki Handlowe";"EDUTORIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""525418954""";"=""5851501207""";"POMORSKIE";"Sopot";"Sopot";"samodzielna";"";"";"";"124";"";"angielski, hiszpański";"Tak";"Tak";"Tak";"ogólnodostępny, integracyjny";"Grupa nauczania języka mniejszości";"";"";"";""
"128646";"=""362341545""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1";"=""24""";"=""2410""";"=""2410054""";"=""0942222""";"=""01279""";"ŚLĄSKIE";"pszczyński";"Pszczyna";"Pszczyna";"miasto";"ul. Bielska";"=""54""";"";"=""43-200""";"Pszczyna";"=""502243181""";"";"sekretariat@nzpe.pl";"www.nzpe.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"Elżbieta Oleś-Urdzoń";"2015.08.27";"2015.09.01";"";"Osoba fizyczna";"OLEŚ-URDZOŃ ELŻBIETA";"";"";"ŚLĄSKIE";"pszczyński";"Pszczyna";"samodzielna";"";"";"";"113";"boiska uniwersalne/wielozadaniowe";"angielski, francuski, hiszpański, niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny, integracyjny";"Wczesne wspomaganie rozwoju";"";"";"";""
"270645";"=""382837555""";"=""6452166328""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1";"=""24""";"=""2413""";"=""2413011""";"=""0931589""";"=""17366""";"ŚLĄSKIE";"tarnogórski";"Kalety";"Kalety";"miasto";"ul. Powstańców Śląskich";"=""11""";"";"=""42-660""";"Kalety";"=""606976038""";"";"kaletymaliodkrywcy@gmail.com";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"KATARZYNA MOL-GALIOS";"2019.03.01";"2019.03.01";"";"Przedsiębiorstwa Osób Fizycznych";"PRESTIGE KATARZYNA MOL-GALIOS";"=""240450332""";"=""6452166328""";"ŚLĄSKIE";"tarnogórski";"Kalety";"samodzielna";"";"";"";"69";"";"angielski";"Nie";"Tak";"Nie";"integracyjny";"";"";"";"";""
"9958";"=""180886640""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 IM. HELENY MODRZEJEWSKIEJ";"=""18""";"=""1862""";"=""1862011""";"=""0971672""";"=""41677""";"PODKARPACKIE";"Przemyśl";"Przemyśl";"Przemyśl";"miasto";"pl. Plac Tadeusza Czackiego";"=""2""";"";"=""37-700""";"Przemyśl";"=""166760076""";"=""166751289""";"bazacentrum@onet.eu";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ELŻBIETA TOBOŁA";"2010.08.20";"2010.09.01";"";"Osoba fizyczna";"JANUSZCZYK WIESŁAWA";"";"";"PODKARPACKIE";"Przemyśl";"Przemyśl";"samodzielna";"";"";"";"30";"";"angielski";"Tak";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"264325";"=""368310630""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 IM. KRZYSZTOFA KOLUMBA W ŻYRARDOWIE";"=""14""";"=""1438""";"=""1438011""";"=""0977210""";"=""12740""";"MAZOWIECKIE";"żyrardowski";"Żyrardów";"Żyrardów";"miasto";"ul. Adama Mickiewicza";"=""126/128""";"";"=""96-300""";"Żyrardów";"=""510115575""";"";"szkolakolumba@gmail.com";"szkolakolumba.edu.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"Łukasz Malinowski";"2017.09.01";"2017.09.01";"";"Osoba fizyczna";"SKONECZNA AGATA MAGDALENA";"";"";"MAZOWIECKIE";"żyrardowski";"Radziejowice";"samodzielna";"";"";"";"204";"";"angielski, hiszpański";"Tak";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"125245";"=""200885883""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 ŚW. ABP. ŁUKASZA WOJNO - JASIENIECKIEGO W BIELSKU PODLASKIM";"=""20""";"=""2003""";"=""2003011""";"=""0922685""";"=""18575""";"PODLASKIE";"bielski";"Bielsk Podlaski";"Bielsk Podlaski";"miasto";"ul. Tadeusza Rejtana";"=""24""";"";"=""17-100""";"Bielsk Podlaski";"=""882653756""";"";"niepubliczna.sp1@op.pl";"www.prawoslawnasp1.edupage.org";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ANETTA LEONIUK";"2014.09.26";"2015.09.01";"";"Fundacje";"FUNDACJA DOMÓW KULTURY PRAWOSŁAWNEJ DIECEZJI WARSZWSKO - BIELSKIEJ";"=""200312118""";"=""5432167850""";"PODLASKIE";"bielski";"Bielsk Podlaski";"samodzielna";"";"";"";"60";"";"angielski";"Tak";"Tak";"Tak";"ogólnodostępny, z dodatkową nauką języka mniejszości narodowej lub etnicznej albo j.regionalnego";"";"";"";"";""
"482160";"=""529282612""";"=""5371262027""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 W BIAŁEJ PODLASKIEJ";"=""06""";"=""0661""";"=""0661011""";"=""0922018""";"=""29158""";"LUBELSKIE";"Biała Podlaska";"Biała Podlaska";"Biała Podlaska";"miasto";"ul. Łomaska";"=""70""";"";"=""21-500""";"Biała Podlaska";"=""833438098""";"";"dyrektor.nsp1@gmail.com";"nsp1.com.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"BEATA RYCHLIK";"2024.07.31";"2024.09.01";"";"Osoba Fizyczna - Pracodawca";"Rychlik Beata Małgorzata";"";"";"LUBELSKIE";"Biała Podlaska";"Biała Podlaska";"samodzielna";"";"";"";"30";"";"angielski";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"9592";"=""341322923""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 W BYDGOSZCZY";"=""04""";"=""0461""";"=""0461011""";"=""0928363""";"=""04430""";"KUJAWSKO-POMORSKIE";"Bydgoszcz";"Bydgoszcz";"Bydgoszcz";"miasto";"ul. Józefa Dwernickiego";"=""10""";"";"=""85-675""";"Bydgoszcz";"=""523414241""";"";"sekretariat@nsp1.bydgoszcz.pl";"nsp1.bydgoszcz.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"BRYGIDA SZYMAŃSKA-OSIK";"1995.09.01";"1995.09.01";"";"Spółki Handlowe";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""340758535""";"";"KUJAWSKO-POMORSKIE";"Bydgoszcz";"Bydgoszcz";"samodzielna";"";"";"";"145";"";"angielski, hiszpański, niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"131175";"=""365004950""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 W GRUDZIĄDZU";"=""04""";"=""0462""";"=""0462011""";"=""0983333""";"=""02700""";"KUJAWSKO-POMORSKIE";"Grudziądz";"Grudziądz";"Grudziądz";"miasto";"ul. Chełmińska";"=""121""";"";"=""86-300""";"Grudziądz";"=""660927183""";"";"sekretariat@e-nsp1.pl";"www.e-nsp1.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Modliborska";"2016.07.21";"2016.09.01";"";"Osoba fizyczna";"Modliborska Małgorzata";"";"";"KUJAWSKO-POMORSKIE";"Grudziądz";"Grudziądz";"samodzielna";"";"";"";"169";"boiska uniwersalne/wielozadaniowe";"angielski";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"129477";"=""362624935""";"=""8531519354""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 W PYRZYCACH";"=""32""";"=""3212""";"=""3212054""";"=""0979515""";"=""17394""";"ZACHODNIOPOMORSKIE";"pyrzycki";"Pyrzyce";"Pyrzyce";"miasto";"ul. Poznańska";"=""3""";"";"=""74-200""";"Pyrzyce";"=""662003636""";"";"dyrektornsp1pyrzyce@gmail.com";"www.fundacjapyrzyce.com";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"IZABELA ROCZKOWSKA";"2015.09.29";"2017.09.01";"";"Fundacje";"FUNDACJA OŚWIATOWA ""REALIZUJMY MARZENIA""";"=""362439184""";"";"ZACHODNIOPOMORSKIE";"pyrzycki";"Pyrzyce";"samodzielna";"";"";"";"86";"boiska uniwersalne/wielozadaniowe";"angielski, niemiecki";"Nie";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"129993";"=""363237838""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 2 ""KAMON"" W PRZEMYŚLU";"=""18""";"=""1862""";"=""1862011""";"=""0971672""";"=""11937""";"PODKARPACKIE";"Przemyśl";"Przemyśl";"Przemyśl";"miasto";"ul. 3 Maja";"=""38""";"";"=""37-700""";"Przemyśl";"=""603784646""";"";"dyrektor@szkolakamon.pl";"www.szkolapodstawowanr2.edu.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"MAGDALENA WOJNAROWICZ";"2015.12.14";"2016.09.01";"";"Fundacje";"FUNDACJA KAMON DLA EDUKACJI I OPIEKI";"=""528553836""";"=""7952581611""";"PODKARPACKIE";"Przemyśl";"Przemyśl";"samodzielna";"";"";"";"207";"";"angielski, niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"480711";"=""526283864""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 2 W PSZCZYNIE";"=""24""";"=""2410""";"=""2410054""";"=""0942222""";"=""01279""";"ŚLĄSKIE";"pszczyński";"Pszczyna";"Pszczyna";"miasto";"ul. Bielska";"=""54""";"";"=""43-200""";"Pszczyna";"=""532784926""";"";"knowakowska@nzpe.pl";"www.nzpe.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"KAROLINA NOWAKOWSKA";"2023.08.28";"2023.09.01";"";"Fundacje";"FUNDACJA EDUKACJA+TERAPIA";"=""389572278""";"=""6381845883""";"ŚLĄSKIE";"pszczyński";"Goczałkowice-Zdrój";"samodzielna";"";"";"";"74";"";"angielski, francuski, hiszpański, niemiecki, włoski";"Tak";"Tak";"Tak";"ogólnodostępny, integracyjny";"";"";"";"";""
"25891";"=""061468419""";"=""5631202299""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI INTEGRACYJNYMI W CHEŁMIE";"=""06""";"=""0662""";"=""0662011""";"=""0929902""";"=""15733""";"LUBELSKIE";"Chełm";"Chełm";"Chełm";"miasto";"ul. Partyzantów";"=""27A""";"";"=""22-100""";"Chełm";"=""825650563""";"=""825650563""";"niepubliczna2@interia.eu";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"DOROTA WRÓBEL";"2006.05.05";"2006.09.01";"";"Spółki Handlowe";"EWA II SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""110716348""";"=""5632161332""";"LUBELSKIE";"Lublin";"Lublin";"samodzielna";"";"";"";"276";"inne urządzenia sportowe";"angielski, niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"262848";"=""368075530""";"";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 38 Z ODDZIAŁAMI INTEGRACYJNYMI IM. IRENY SENDLEROWEJ";"=""14""";"=""1465""";"=""1465118""";"=""0988827""";"=""20137""";"MAZOWIECKIE";"Warszawa";"Targówek";"Targówek";"dzielnica m.st. Warszawy";"ul. Skrajna";"=""10""";"";"=""03-209""";"Warszawa";"=""226140701""";"";"poczta@nsp38.edu.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"EWA WITKOWSKA";"2017.08.09";"2017.09.01";"";"Spółki Handlowe";"DOZA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""011773653""";"=""5241065831""";"MAZOWIECKIE";"Warszawa";"Targówek";"samodzielna";"";"";"";"98";"boiska uniwersalne/wielozadaniowe";"angielski, hiszpański";"Tak";"Tak";"Nie";"integracyjny";"";"";"";"";""
