DEPARTAMENTO,SECRETARIA,MUNICIPIO,CODIGO_DANE,NOMBRE_ESTABLECIMIENTO,SECTOR,CARACTER,CALENDARIO,DIRECCION,BARRIO_VEREDA,TELEFONO,EMAIL,RECTOR,TOTAL_MATRICULA,CANTIDAD_SEDES
Cauca,CAUCA,Santander de Quilichao,219698000327,INSTITUCION EDUCATIVA AGROPECUARIA SAN ISIDRO,OFICIAL,Técnico/Academico,A,CORREGIMIENTO SAN ISIDRO,CORREGIMIENTO SAN ISIDRO,3164532155,i.e.a.sanisidro@gmail.com,JORGE EDUARDO ZAMBRANO CALDERON,268,2.0
Cauca,CAUCA,Santander de Quilichao,219698000432,INSTITUCION ETNOEDUCATIVA EL PALMAR(ANTES INSTITUCION EDUCATIVA EL PALMAR),OFICIAL,Académico,A,VEREDA EL PALMAR,VEREDA EL PALMAR,3113239848,rector@elpalmarie.edu.co,BORIS AHICARDO POLANCO HERRERA,334,4.0
Cauca,CAUCA,Santander de Quilichao,219698000459,CENTRO EDUCATIVO LOMITAS,OFICIAL,No Aplica,A,CORREGIMIENTO LOMITAS,CORREGIMIENTO LOMITAS,0928292962 - 3117496768,lhuve1@hotmail.com,LILIANA HURTADO VERA,85,2.0
Cauca,CAUCA,Santander de Quilichao,219698000483,INSTITUCIÓN EDUCATIVA LA ESPERANZA,OFICIAL,Técnico/Academico,A,VEREDA LA PALOMERA,VEREDA LA PALOMERA,3216409954,esperanzapalomera@yahoo.com,JAIME LOPEZ ARIAS,248,4.0
Cauca,CAUCA,Santander de Quilichao,219698000505,CENTRO EDUCATIVO LA AGUSTINA,OFICIAL,No Aplica,A,VEREDA LA AGUSTINA,VEREDA LA AGUSTINA,3113658649,cenlagustina@gmail.com,ELCY  DIAZ CAICEDO,126,6.0
Cauca,CAUCA,Santander de Quilichao,219698000556,INSTITUCION EDUCATIVA POLICARPA FERNANDEZ,OFICIAL,Académico,A,CORRIMIENTO EL TURCO,CORRIMIENTO EL TURCO,3136246180,iepolicarpafernandez@hotmail.com,JAIRO ESMIR VARGAS ESCUE,546,4.0
Cauca,CAUCA,Villa Rica,219698000564,I.E. JUAN IGNACIO,OFICIAL,Técnico/Academico,A,CORREGIMIENTO JUAN IGNACIO,CORREGIMIENTO JUAN IGNACIO,3147201222,alexolivar16@yahoo.es,ALEXANDER OLIVAR,315,1.0
Cauca,CAUCA,Santander de Quilichao,219698000629,INSTITUCION EDUCATIVA AGROPECUARIA LAS AVES,OFICIAL,Técnico,A,VEREDA EL AGUILA,VEREDA EL AGUILA,3148642909,iealasaves2009@gmail.com,OFIRIA DAZA PEÑA,1 437,12.0
Cauca,CAUCA,Santander de Quilichao,219698000661,INSTITUCION EDUCATIVA DOMINGUILLO,OFICIAL,Académico,A,VEREDA DOMINGUILLO,VEREDA DOMINGUILLO,3176887666,ieadominguillo@gmail.com yazzirpolanco@gmail.com,YAZZIR ALEXANDER POLANCO HERRERA,567,5.0
Cauca,CAUCA,Villa Rica,219698000726,C.E. EL CHALO,OFICIAL,No Aplica,A,VDA EL CHALO,VDA EL CHALO,8290760 - 3122196476,dilucofer@hotmail.com,DIEGO LUIS  COSME FERNANDEZ,113,2.0
Cauca,CAUCA,Villa Rica,219698000734,I.E.T. SENON FABIO VILLEGAS,OFICIAL,Técnico/Academico,A,KR 16 3 13,CRA 16 NO. 3-13,3176810294 - 8486275,ietsenon@yahoo.com.mx,DANNY LUZ ESCOBAR MACHADO,947,3.0
Cauca,CAUCA,Santander de Quilichao,219698001161,CENTRO EDUCATIVO TAMINANGO,OFICIAL,No Aplica,A,VEREDA TAMINANGO,VEREDA TAMINANGO,3122018837,liliananene16@gmail.com,LILIANA PEÑA NENE,81,2.0
Cauca,CAUCA,Villa Rica,219698001587,INST EDUC TEC CCIAL SIMON BOLIVAR  ANTES INST EDUC SIMON BOLIVAR,OFICIAL,Técnico,A,CL 3 6 58,EL CENTRO,3116002446,efigenioh@hotmail.com,EFIGENIO HINESTROZA HERRERA,1 130,2.0
Cauca,CAUCA,Santander de Quilichao,219698001595,I.E. JOSE MARIA CORDOBA,OFICIAL,Académico,A,CORREGIMIENTO DE MONDOMO BARRIO BELEN,CORREGIMIENTO DE MONDOMO BARRIO BELEN,3168727172,iejomaco45@yahoo.es,JOSE EYBER VELASCO TRUJILLO,1 085,7.0
Cauca,CAUCA,Santander de Quilichao,219698001641,INSTITUCION EDUCATIVA LA ARROBLEDA,OFICIAL,Técnico,A,CORREGIMIENTO LA ARROBLEDA,CORREGIMIENTO LA ARROBLEDA,3174236871,luiscenon16@gmail.com,LUIS CENON RIASCOS URBANO,383,5.0
Cauca,CAUCA,Santander de Quilichao,219698002648,INSTITUCIÓN EDUCATIVA KLIICHAW SEK,OFICIAL,Académico,A,VEREDA LOS PINOS,VEREDA LOS PINOS,3148439020,kliichawsek@hotmail.com,HERNAN  CELEDONIO  MULCUE JIMENEZ,521,7.0
Cauca,CAUCA,Santander de Quilichao,219698002656,INSTITUCION EDUCATIVA AGROPECUARIA BENJAMIN DINDICUE,OFICIAL,Técnico,A,VEREDA PARAMILLO UNO,VEREDA PARAMILLO UNO,3128796120,jorgegiraldo66@yahoo.es,FREDY  RIVERA TROCHEZ,439,7.0
Cauca,CAUCA,Santa Rosa,219701000155,INSTITUCION EDUCATIVA SANTA MARTA,OFICIAL,Académico,A,KM 27 VIA MOCOA - PITALITO,CORREGIMIENTO SANTA MARTHA,3157341036,iesantamarthasantarosa@gmail.com,JOAN ALEXANDER RIASCOS TIMANA,145,8.0
Cauca,CAUCA,Toribío,219821000108,C.E. SOTO,OFICIAL,No Aplica,A,VEREDA SOTO,VEREDA SOTO,3127875566,margisanto@gmail.com,FRANCIA RUBY PITO OPOCUE,101,3.0
Cauca,CAUCA,Piamonte,219701000180,INSTITUCION EDUCATIVA SANTO DOMINGO SABIO,OFICIAL,Académico,A,VEREDA MIRAFLOR,VEREDA MIRAFLOR,3222367128,ie.santodomingosabio2004@gmail.com,MARIO ANDRES ZAMBRANO TAPIA,410,3.0
Cauca,CAUCA,Piamonte,219701000201,CENTRO EDUCATIVO EL REMANSO,OFICIAL,No Aplica,A,VEREDA EL REMANSO,VEREDA EL REMANSO,3124904868,francitamilena03@hotmail.com,FRANCY MILENA VELASCO MOROCHO,58,5.0
Cauca,CAUCA,Santa Rosa,219701000295,C.E. VILLA NARCISO CARMELO,OFICIAL,No Aplica,A,CORREGIMIENTO EL CARMELO,CORREGIMIENTO EL CARMELO,3128810733,lumunoz05@hotmail.com,LUCIANO MUÑOZ,25,3.0
Cauca,CAUCA,Santa Rosa,219701000309,C.E. SANTA CLARA,OFICIAL,No Aplica,A,CORREGIMIENTO SANTA CLARA,CORREGIMIENTO SANTA CLARA,,gomezefren01@gmail.com,EFREN GOMEZ NAVIA,8,1.0
Cauca,CAUCA,Santa Rosa,219701000376,C.E. SANTA MARIA,OFICIAL,No Aplica,A,KM 80 VIA MOCOA - PITALITO,VEREDA SANTA MARIA-VILLALOBOS,3128602722,yiya-cruz@hotmail.com,DEYANIRA CRUZ LIZCANO,65,3.0
Cauca,CAUCA,Piamonte,219701000511,CENTRO EDUCATIVO EL CARANO,OFICIAL,No Aplica,A,VEREDA EL CARANO,VEREDA EL CARANO,3234817210,alexaalvarez@unicauca.edu.co,ALEXANDRA MARCELA ALVAREZ,36,3.0
Cauca,CAUCA,Piamonte,219701000767,CENTRO EDUCATIVO PUERTO GUAYUYACO,OFICIAL,No Aplica,A,VEREDA PUERTO GUAYUYACO,VEREDA PUERTO GUAYUYACO,3144058834,lunamu69@gmail.com,ANA MARIA MUCHAVISOY CHINDOY,128,10.0
Cauca,CAUCA,Piamonte,219701001097,CENTRO EDUCATIVO LA PALMERA,OFICIAL,No Aplica,A,VEREDA LA PALMERA,VEREDA LA PALMERA,3147841127,ortizcalvachericardo@gmail.com,RICARDO ORTIZ CALVACHE,101,8.0
Cauca,CAUCA,Santa Rosa,219701001160,I.E.A. VILLALOBOS,OFICIAL,Técnico,A,KM 67 VIA MOCOA - PITALITO,CORREGIMIENTO SAN JUAN VILLALOBOS,3103122595,rectoriaieav@gmail.com,JAVIER MARTINEZ PLATA,267,4.0
Cauca,CAUCA,Piamonte,219701001194,INSTITUCIÓN EDUCATIVA AGRICOLA PIAMONTE,OFICIAL,Técnico,A,CABECERA MUNICIPAL,CABECERA MUNICIPAL,3186833773,institutoagricolapiamonte@gmail.com,JORGE GIOBANY LUCUMI GONZALEZ,1 062,11.0
Cauca,CAUCA,Santa Rosa,219701001453,INSTITUCIÓN EDUCATIVA SUMAK KAWSAY,OFICIAL,Académico,A,KM 27 VIA MOCOA - PITALITO,VDA. SANTA MARTA,3138125391,vivirconarmonia@gmail.com,ANGEL MUTUMBAJOY JACANAMEJOY,211,6.0
Cauca,CAUCA,Silvia,219743000023,INST EDUC EL TRANAL ANTES CENTRO EDUCATIVO EL TRANAL,OFICIAL,Técnico,A,VEREDA EL TRANAL,VEREDA EL TRANAL,3113216015- 3126364517,charls1009@gmail.com,LUIS CARLOS CALAMBAS ULLUNE,183,4.0
Cauca,CAUCA,Silvia,219743000031,C.E. TUMBURAO,OFICIAL,No Aplica,A,INSPECCION DE POLICIA TUMBURAO,INSPECCION DE POLICIA TUMBURAO,3136991512,cetumburao@hotmail.com jafeorpe@gmail.com,JAIRO ORLANDO FERNANDEZ PEÑA,181,1.0
Cauca,CAUCA,Silvia,219743000147,I.E. QUICHAYA,OFICIAL,Académico,A,CORREGIMIENTO QUICHAYA,CORREGIMIENTO QUICHAYA,3116255510,IEQUICHAYA@HOTMAIL.COM,GLADIS SOTELO TUNUBALA,508,6.0
Cauca,CAUCA,Silvia,219743000155,INSTITUCION EDUCATIVA RENACER PAEZ,OFICIAL,Académico,A,CORREGIMIENTO PITAYO,CORREGIMIENTO PITAYO,3185530626 - 3103731769,ierenacerpaez@hotmail.com,HECTOR RICARDO CALAMBAS CUENE,412,4.0
Cauca,CAUCA,Silvia,219743000171,INST EDUC TEC KIZGO ANTES (INST EDUC QUIZGO),OFICIAL,Técnico,A,VEREDA PENEBIO,VEREDA PENEBIO,3157650809,iequizgo@hotmail.com,WILSON ALBEIRO PAJA ULLUNE,637,10.0
Cauca,CAUCA,Silvia,219743000180,INSTITUCION EDUCATIVA TECNICA AMBALO,OFICIAL,Técnico,A,VEREDA MIRAFLORES,VEREDA MIRAFLORES,3212363977,ietambalo@gmail.com,JOSE FERNANDO GUAZA QUILINDO,304,7.0
Cauca,CAUCA,Silvia,219743000210,C.E. LA OVEJERA,OFICIAL,No Aplica,A,VEREDA LA OVEJERA,VEREDA LA OVEJERA,3148934242,ortizery@hotmail.com centroeducativolaovejera@gmail.com,MERY ORTIZ CALAMBAS,147,2.0
Cauca,CAUCA,Silvia,219743000252,INSTITUCION EDUCATIVA LA CAMPANA,OFICIAL,Académico,A,VEREDA LA CAMPANA,VEREDA LA CAMPANA,3218748220,ielacampana01@gmail.com,SANDRA PATRICIA TROCHEZ TOMBE,374,5.0
Cauca,CAUCA,Silvia,219743000511,C.E. NAZARETH,OFICIAL,No Aplica,A,VEREDA NAZARETH,VEREDA NAZARETH,3136349514,ceelnazareth@hotmail.com,JAIR ENRIQUE CALAMBAS TORRES,138,4.0
Cauca,CAUCA,Silvia,219743000520,INSTITUCION EDUCATIVA MISAK MAMA MANUELA,OFICIAL,Técnico,A,VEREDA LAS DELICIAS,VEREDA LAS DELICIAS,8251033,cdguambiano@yahoo.es,LUIS FELIPE CALAMBAS VELASCO,1 545,13.0
Cauca,CAUCA,Piendamó,219743000520,INSTITUCION EDUCATIVA MISAK MAMA MANUELA,OFICIAL,Técnico,A,VEREDA LAS DELICIAS,VEREDA LAS DELICIAS,8251033,cdguambiano@yahoo.es,LUIS FELIPE CALAMBAS VELASCO,1 545,13.0
Cauca,CAUCA,Silvia,219743000741,I.E.T. AGROAMBIENTAL SEK BUVX FXIW LA GAITANA,OFICIAL,Técnico,A,VEREDA LOMA AMARILLA,VEREDA LOMA AMARILLA,3148355429 - 3128442626,celagaitana@hotmail.com,BOLIVAR CHOCUE GUETIO,169,3.0
Cauca,CAUCA,Silvia,219743000961,I.E. CENTRO INTEGRADO DE SERVICIOS,OFICIAL,Técnico,A,VEREDA BUENAVISTA,VEREDA BUENAVISTA,3108093658,iecispitayo@gmail.com,ANDRES MACIAS SAMBONI,315,4.0
Cauca,CAUCA,Silvia,219743001062,I.E. DE USENDA,OFICIAL,Técnico,A,VEREDA USENDA,VEREDA USENDA,8279216,ieusenda@hotmail.com,DAISY SOCORRO FERNANDEZ FERNANDEZ,244,5.0
Cauca,CAUCA,Sotará(Paispamba),219760000088,INST EDUC AGROP CHAPA,OFICIAL,Técnico,A,CORREGIMIENTO CHAPA,CORREGIMIENTO DE CHAPA,3188405101,rectoria@iechapa.edu.co,DUMER ALBERTO GOMEZ GOMEZ,46,2.0
Cauca,CAUCA,Toribío,219821000116,C.E. EL TRAPICHE,OFICIAL,No Aplica,A,VEREDA EL TRAPICHE,VEREDA EL TRAPICHE,3146101825 3103981413,centrapiche09@hotmail.com,MARIA ROSA VASQUEZ,73,2.0
Cauca,CAUCA,Sotará(Paispamba),219760000100,I.E.  PUEBLOQUEMADO,OFICIAL,Académico,A,VEREDA PUEBLOQUEMADO,VEREDA PUEBLOQUEMADO,3148475819,inseduapq2017@gmail.com,EDUAR HORMIGA HORMIGA,96,2.0
Cauca,CAUCA,Sotará(Paispamba),219760000177,I.E. LA PAZ,OFICIAL,Académico,A,CORREGIMIENTO LA PAZ,CORREGIMIENTO LA PAZ,3207255214,trinie25@hotmail.com,TRINIDAD ERAZO VALENCIA,183,5.0
Cauca,CAUCA,Sotará(Paispamba),219760000193,INSTITUCIÓN EDUCATIVA EL CRUCERO,OFICIAL,Académico,A,CORREGIMIENTO EL CRUCERO,CORREGIMIENTO EL CRUCERO,3162848791,colcrucero.sotara2009@gmail.com,ASTRID YANNETH FERNANDEZ QUILA,153,8.0
Cauca,CAUCA,Sotará(Paispamba),219760000401,I.E. AGROPECUARIA  LOS  ROBLES,OFICIAL,Técnico,A,VEREDA LOS ROBLES,VEREDA LOS ROBLES,3136721746,iealosroblessotaracauca@hotmail.com,ANA CILENA OROZCO VELASCO,263,2.0
Cauca,CAUCA,Sotará(Paispamba),219760000517,INSTITUCION EDUCATIVA PIEDRA DE LEON,OFICIAL,Académico,A,VEREDA PIEDRA DE LEON,VEREDA PIEDRA DE LEON,3127938733,iepiedradeleon@gmail.com,JHON JAIRO TORRES RIOS,187,3.0
Cauca,CAUCA,Sotará(Paispamba),219760000541,I.E.A. LOS COMUNEROS,OFICIAL,Técnico,A,CORREGIMIENTO RIO BLANCO,CORREGIMIENTO RIO BLANCO,3206982931,pazhormiga@gmail.com,ARISTIDES PAZ HORMIGA,150,5.0
Cauca,CAUCA,Suárez,219780000149,INSTITUCION EDUCATIVA INTERCULTURAL TECNICO AGROPECUARIO SATH FXINXI DXI´J  CAMINO DE LA SABIDURIA,OFICIAL,Técnico,A,VEREDA UNION OLIVARES,,3104639609,ceisfd2018@gmail.com,EIBER SCHNEIDER JIMENEZ ALVAREZ,413,5.0
Cauca,CAUCA,Suárez,219780000173,INSTITUCION EDUCATIVA MARILOPEZ BELLAVISTA (ANTES CENTRO EDUCATIVO MARILOPEZ BELLAVISTA),OFICIAL,Académico,A,VEREDA BELLAVISTA,VEREDA BELLAVISTA,3116117227,manejo11@hotmail.com,DEYANYRA  BALANTA RAMOS,253,3.0
Cauca,CAUCA,Suárez,219780000246,INSTITUCION EDUCATIVA SANTA MARTA (ANTES CENTRO EDUCATIVO SANTA MARTA),OFICIAL,Académico,A,VEREDA SANTA MARTA,VEREDA SANTA MARTA,3137207617,josedlu@hotmail.com,JOSE DOBER LUCUMI URRUTIA,112,1.0
Cauca,CAUCA,Suárez,219780000343,I.E. AGROAMBIENTAL  AGUA CLARA,OFICIAL,Técnico,A,VEREDA AGUA CLARA,VEREDA AGUA CLARA,3183395072,agroambientalaguaclara@gmail.com,LUZ ENITH VALENCIA HERNANDEZ,601,9.0
Cauca,CAUCA,Suárez,219780000467,INSTITUCION EDUCATIVA MINDALA (ANTES CENTRO EDUCATIVO MINDALA),OFICIAL,Académico,A,VEREDA MINDALA,VEREDA MINDALA,,ama.mimo@hotmail.com,AMAIRA MARCEL MINA MOSQUERA,295,8.0
Cauca,CAUCA,Suárez,219780000599,I.E. DE PROMOCION VOCACIONAL DE ALTAMIRA,OFICIAL,Técnico,A,VEREDA ALTAMIRA,VEREDA ALTAMIRA,317728579,paolavalencialozano29@hotmail.com,GLADYS TAIPE CANCHO,236,1.0
Cauca,CAUCA,Suárez,219780000777,INSTITUCION EDUCATIVA LA BETULIA,OFICIAL,Académico,A,VEREDA BETULIA,VEREDA BETULIA,3128507247,institucioneducativalabetulia@gmail.com,VICTOR EDUARDO AGRONO HURTADO,439,12.0
Cauca,CAUCA,Suárez,219780001218,INSTITUCION EDUCATIVA ASNAZU,OFICIAL,Académico,A,CORREGIMIENTO  ASNAZU,CORREGIMIENTO  ASNAZU,3217813874,ieasnazu@gmail.com,JOSE NEFER MANCILLA CARABALI,667,6.0
Cauca,CAUCA,Suárez,219780001382,INSTITUCION EDUCATIVA LA MESETA (ANTES CENTRO EDUCATIVO LA MESETA),OFICIAL,Académico,A,CORREGIMIENTO DE LA MESETA,CORREGIMIENTO DE LA MESETA,3206462582,institucioneducativalameseta@yahoo.es,ELISON GONZALEZ,199,7.0
Cauca,CAUCA,Suárez,219780011418,I.E. SANTA ROSA DE LIMA,OFICIAL,Técnico,A,VEREDA LA TOMA,VEREDA LA TOMA,3128114448-3175658170,orlandon63@yahoo.es,ORLANDO NUÑEZ,404,4.0
Cauca,CAUCA,Timbío,219807000014,C.E. CAMPOSANO,OFICIAL,No Aplica,A,VEREDA CAMPOSANO,VEREDA CAMPOSANO,3105085925,diaziliad@hotmail.com,LIDIA DIAZ LEYTON,92,3.0
Cauca,CAUCA,Timbío,219807000022,I.E. AGROP CINCO DIAS,OFICIAL,Técnico,A,CORREGIMIENTO CINCO DIAS,CORREGIMIENTO CINCO DIAS,3206994844,carojosetadeo2010@gmail.com,JOSÉ TADEO CARO,284,2.0
Cauca,CAUCA,Timbío,219807000081,CENTRO EDUCATIVO SAN JOSE,OFICIAL,Académico,A,CORREGIMIENTO ALTO DE SAN JOSE,CORREGIMIENTO ALTO DE SAN JOSE,3146205178,cesanjose2024@gmail.com,LIBEIRO ZEMANATE BENAVIDES,66,4.0
Cauca,CAUCA,Timbío,219807000197,C.E. CUCHICAMA,OFICIAL,No Aplica,A,VEREDA CUCHICAMA,VEREDA CUCHICAMA,3146318907,wiracarpi@hotmail.com,WILSON RAMON CARMONA PILLIMUE,45,2.0
Cauca,CAUCA,Timbío,219807000243,I.E.  LA CABANA ANTES CENT EDUC,OFICIAL,Académico,A,VEREDA LA CABANA,VEREDA LA CABANA,3122878026,ielacabanatimbio243@gmail.com,ISRAEL MOLINA PARARROYO,288,3.0
Cauca,CAUCA,Timbío,219807000251,C.E. LA CHORRERA,OFICIAL,Académico,A,CORREGIMIENTO LA CHORRERA,CORREGIMIENTO LA CHORRERA,3127125825-3106738425,adalidrupy.29@hotmail.com,ADALID RUIZ PINO,94,3.0
Cauca,CAUCA,Timbío,219807000260,C.E. LA HONDA,OFICIAL,No Aplica,A,VEREDA LA HONDA,VEREDA LA HONDA,3207314908,c.elahonda260@gmail.com,SERAFIN ORDOÑEZ POTOSI,85,2.0
Cauca,CAUCA,Timbío,219807000341,C.E. SAMBONI ALTO,OFICIAL,Académico,A,VEREDA SAMBONI,VEREDA SAMBONI,3113939243,,JOSE RAMIRO DELGADO BUENO,136,4.0
Cauca,CAUCA,Timbío,219807000421,C.E. LAS CRUCES,OFICIAL,Académico,A,CORREGIMIENTO LAS CRUCES,CORREGIMIENTO LAS CRUCES,3148619492,,MARIA ELSA GOMEZ FERNANDEZ,63,1.0
Cauca,CAUCA,Timbío,219807000642,C.E. BARRO BLANCO,OFICIAL,No Aplica,A,VEREDA BARROBLANCO,VEREDA BARROBLANCO,8278303 - 3122571482,jesamubra@gmail.com,JESUS ANGEL MUÑOZ,128,4.0
Cesar,CESAR,Chimichagua,220175001379,CENTRO EDUCATIVO EL PUEBLITO,OFICIAL,,A,VDA. EL PUEBLITO,,3215396773,eeelpueblito@educacioncesar.gov.co,DENIS CECILIA FLORES OSPINO,201,10.0
Cauca,CAUCA,Timbío,219807000863,I.E. PROMOCION SOCIAL,OFICIAL,Técnico/Academico,A,VEREDA HATO VIEJO,VEREDA HATO VIEJO,3104070951 3122789313,emzuor@gmail.com insprosocial1959@hotmail.com,EMERITA ZUÑIGA ORDOÑEZ,313,4.0
Cauca,CAUCA,Timbío,219807000952,I.E. EL BOQUERON (ANTES CENT EDUC EL BOQUERON),OFICIAL,Académico,A,VEREDA EL BOQUERON,VEREDA EL BOQUERON,3103797521,camsotel@hotmail.com,CAMILO SOTELO,241,3.0
Cauca,CAUCA,Timbío,219807001126,INSTITUCION EDUCATIVA ELIAS TROCHEZ,OFICIAL,Académico,A,VEREDA LA LAGUNA,VEREDA LA LAGUNA,3137865162,,JAIR MENDEZ,502,1.0
Cauca,CAUCA,Timbiquí,219809000135,CENTRO EDUCATIVO BOCA DE PATIA,OFICIAL,No Aplica,A,CORREGIMIENTO BOCA DE PATIA,CORREGIMIENTO BOCA DE PATIA,3185127664,centrobocadepatia@gmail.com,FLORENCIO SALAZAR CELORIO,105,3.0
Cauca,CAUCA,Timbiquí,219809000208,CENTRO EDUCATIVO BRAZO CORTO,OFICIAL,No Aplica,A,CORREGIMIENTO BRAZO CORTO,CORREGIMIENTO BRAZO CORTO,3153414193,,JOSE SANTOS MOSQUERA  CUERO,122,4.0
Cauca,CAUCA,Timbiquí,219809000275,INSTITUCION EDUCATIVA SAN JOSE,OFICIAL,Técnico/Academico,A,CORREGIMIENTO SAN JOSE,CORREGIMIENTO SAN JOSE,3166379067,,AMPARO  GARCES ARAGON,77,1.0
Cauca,CAUCA,Timbiquí,219809000381,CENTRO EDUCATIVO BOCA DE PETE,OFICIAL,No Aplica,A,CORREGIMIENTO BOCA DE PETE,CORREGIMIENTO BOCA DE PETE,3177708419,centrobocadepete@gmail.com,EBER HURTADO CASTRO,146,3.0
Cauca,CAUCA,Timbiquí,219809000411,CENTRO EDUCATIVO CABECITAL,OFICIAL,No Aplica,A,VEREDA CABECITAL,VEREDA CABECITAL,3144904011,naney210@gmail.com,NANEY  MONTANO TORRES,127,4.0
Cauca,CAUCA,Timbiquí,219809000712,CENTRO EDUCATIVO COTEJE,OFICIAL,Académico,A,CORREGIMIENTO COTEJE,CORREGIMIENTO COTEJE,3172833935,sesiva1207@hotmail.com,SERAPIO SINISTERRA VALENCIA,181,4.0
Cauca,CAUCA,Timbiquí,219809000925,INSTITUCION EDUCATIVA DE DESARROLLO COMUNITARIO ACIESCA,OFICIAL,Técnico,A,RESGUARDO INDIGENA GUANGUI,RESGUARDO INDIGENA GUANGUI,3163984040,,JOSE NELSON CHIRIMIA MALAGA,412,3.0
Cauca,CAUCA,Timbiquí,219809000992,CENTRO EDUCATIVO CUPI,OFICIAL,No Aplica,A,CORREGIMIENTO CUPI,CORREGIMIENTO CUPI,3206835239,,NORY ALEGRIA CAMPAZ MONTANO,128,4.0
Cauca,CAUCA,Timbiquí,219809001107,CENTRO EDUCATIVO CULTURAL SAN FRANCISCO DE GUANGUI,OFICIAL,,A,VEREDA SAN FRANCISCO DE GUANGUI,,3167735285,c.culturalsanfco@gmail.com,MILTON CHAMAPURA GONZALEZ,113,1.0
Cauca,CAUCA,Guapi,219809001221,INSTITUCION EDUCATIVA TECNICA AGROAMBIENTAL AKORE NAWE KISIA - SIA TODE - ANKSIT,OFICIAL,Técnico,A,RESGUARDO INDIGENA CALLE  DE SANTA ROSA,RESGUARDO INDIGENA CALLE  DE SANTA ROSA,3137344712,ieducanksit2024@gmail.com,CARLOS ANDRES CHIRIPUA MEZA,629,9.0
Cauca,CAUCA,Timbiquí,219809001221,INSTITUCION EDUCATIVA TECNICA AGROAMBIENTAL AKORE NAWE KISIA - SIA TODE - ANKSIT,OFICIAL,Técnico,A,RESGUARDO INDIGENA CALLE  DE SANTA ROSA,RESGUARDO INDIGENA CALLE  DE SANTA ROSA,3137344712,ieducanksit2024@gmail.com,CARLOS ANDRES CHIRIPUA MEZA,629,9.0
Cauca,CAUCA,Timbiquí,219809001301,CENTRO EDUCATIVO KAWAAPATATE PENATIGRE GUANGUI,OFICIAL,,A,VEREDA PENATIGRE (RESGUARDO GUANGUI),,0,,ANSELMO PERTIAGA POIRAMA,193,1.0
Cauca,CAUCA,Timbiquí,219809001344,INSTITUCION EDUCATIVA AK´ORE K´LSIA ATABEIDA JARATEEDAIT´EE,OFICIAL,Técnico,A,VEREDA SAN MIGUEL DE INFI (RESGUARDO INDIGENA),,3234676741,manueldura125@gmail.com,MANUEL DE JESUS DURA GARABATO,460,3.0
Cauca,CAUCA,Timbiquí,219809001361,INSTITUCION EDUCATIVA INTEGRADA AGRICOLA SAN BERNARDO,OFICIAL,Técnico,A,CORREGIMIENTO SAN BERNARDO,SAN BERNARDO,3122586038,magaba120@gmail.com,MARILA GARCÍA BALTAN,166,2.0
Cauca,CAUCA,Timbiquí,219809001379,INSTITUCION EDUCATIVA AGRICOLA SANTA MARIA,OFICIAL,Técnico,A,CORREGIMIENTO SANTA MARIA,CORREGIMIENTO SANTA MARIA,3155078175,,WILLIAM  AMU OCORO,340,1.0
Cauca,CAUCA,Timbiquí,219809001387,INSTITUCION EDUCATIVA ETNOEDUCATIVO PUERTO SAIJA,OFICIAL,Académico,A,CORREGIMIENTO PUERTO SAIJA,CORREGIMIENTO PUERTO SAIJA,3166212170,nhorasaac@gmail.com,NORA SAACA CANDELO,1 105,4.0
Cauca,CAUCA,Timbiquí,219809001395,INSTITUCION EDUCATIVA AGRICOLA SANTA ROSA,OFICIAL,Técnico,A,CORREGIMIENTO SANTA ROSA SAIJA,CORREGIMIENTO SANTA ROSA SAIJA,3160537115,institucionsantarosasaija@gmail.com,TEOFILO RUIZ VALLECILLA,212,4.0
Cauca,CAUCA,Toribío,219821000027,C.E. EL DAMIAN,OFICIAL,No Aplica,A,VEREDA DAMIAN,VEREDA DAMIAN,3006750979,cedamian2018@gmail.com,CARMENZA SANCHEZ MORALES,94,2.0
Cauca,CAUCA,Toribío,219821000043,C.E. LA DESPENSA,OFICIAL,No Aplica,A,VEREDA LA DESPENSA,VEREDA LA DESPENSA,3164957442,ededpamu@yahoo.com.mx,EDGAR EDUARDO PAVI MUÑOZ,144,2.0
Cauca,CAUCA,Toribío,219821000051,C.E. LA GRANJA,OFICIAL,No Aplica,A,VEREDA LA SUSANA,VEREDA LA SUSANA,3117427787,cdrmlagranja@gmail.com,ENRIQUE GUASAQUILLO ULCUE,139,3.0
Cauca,CAUCA,Toribío,219821000060,C.E. LA PILA,OFICIAL,No Aplica,A,VEREDA LA PILA RESGUARDO DE SAN FRANCISCO,VEREDA LA PILA RESGUARDO DE SAN FRANCISCO,3122309321,emigdiocaicedoimbachi@yahoo.es,EMIGDIO CAICEDO IMBACHI,85,2.0
Cauca,CAUCA,Toribío,219821000078,INSTITUCIÓN EDUCATIVA LA TOLDA,OFICIAL,Académico,A,VEREDA LA TOLDA,VEREDA LA TOLDA,3127311260,celatolda078@gmail.com,MARCO ANTONIO MOSQUERA YULE,248,5.0
