An,Judet PJ,Localitate PJ,Cod SIRUTA PJ,Mediu loc. PJ,Cod SIIIR PJ,Denumire PJ,Localitate unitate,Cod SIRUTA unitate,Mediu loc. unitate,Cod SIRUES,Cod SIIIR unitate,Denumire scurta unitate,Denumire lunga unitate,Tip unitate,Statut unitate,Cod fiscal,Mod functionare,Forma finantare,Forma proprietate,Strada,Numar,Cod postal,Telefon,Fax,Email
2025-2026,BT,ALBEŞTI,36140,RURAL,0761105303,ŞCOALA GIMNAZIALĂ NR.1 ALBEŞTI,JIJIA,36177,RURAL,,0762103685,ŞCOALA PRIMARĂ NR 4 JIJIA,ŞCOALA PRIMARĂ NR 4 JIJIA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ, 46,717008,0231572125,0231572125,scalbesti@yahoo.com
2025-2026,BT,ALBEŞTI,36140,RURAL,0761105303,ŞCOALA GIMNAZIALĂ NR.1 ALBEŞTI,MĂŞCĂTENI,36186,RURAL,,0762103667,ŞCOALA PRIMARĂ NR.5 MĂŞCĂTENI,ŞCOALA PRIMARĂ NR.5 MĂŞCĂTENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ, 12,717009,0231572325,0231572125,scalbesti@yahoo.com
2025-2026,BT,AVRĂMENI,36211,RURAL,0761104858,ŞCOALA GIMNAZIALĂ NR.1 AVRĂMENI,AUREL VLAICU,36239,RURAL,,0762104175,ŞCOALA PRIMARĂ NR.4 AUREL VLAICU AVRĂMENI,ŞCOALA PRIMARĂ NR. 4 AUREL VLAICU,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,AUREL VLAICU,FN ,717017,0231540903,0231563121,scoala_avrameni@yahoo.com
2025-2026,BT,AVRĂMENI,36211,RURAL,0761104858,ŞCOALA GIMNAZIALĂ NR.1 AVRĂMENI,DIMITRIE CANTEMIR,36248,RURAL,,0762104148,ŞCOALA PRIMARĂ NR.2 DIMITRIE CANTEMIR,ŞCOALA PRIMARĂ NR. 2 DIMITRIE CANTEMIR,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,DIMITRIE CANTEMIR, FN,717018,0231563121,0231563121,scoala_avrameni@yahoo.com
2025-2026,BT,AVRĂMENI,36211,RURAL,0761104858,ŞCOALA GIMNAZIALĂ NR.1 AVRĂMENI,TIMUŞ,36275,RURAL,,0762104139,ŞCOALA PRIMARĂ NR.1 TIMUS,ŞCOALA PRIMARĂ NR. 1 TIMUȘ,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,TIMUS, FN,717022,0231563121,0231563121,scoala_avrameni@yahoo.com
2025-2026,BT,BLÂNDEŞTI,39079,RURAL,0761104709,ŞCOALA GIMNAZIALĂ NR 1 BLÂNDEŞTI,CERCHEJENI,39088,RURAL,,0762100628,ŞCOALA PRIMARĂ NR.2 CERCHEJENI,ŞCOALA PRIMARĂ NR. 2 CERCHEJENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,CERCHEJENI, FN,717372,0231573104,0231573104,scoala_blandesti@yahoo.com
2025-2026,BT,BLÂNDEŞTI,39079,RURAL,0761104709,ŞCOALA GIMNAZIALĂ NR 1 BLÂNDEŞTI,ŞOLDĂNEŞTI,39113,RURAL,,0762100637,ŞCOALA PRIMARĂ NR.3 ŞOLDĂNEŞTI,ŞCOALA PRIMARĂ NR. 3 ŞOLDĂNEŞTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,ŞOLDĂNEŞTI, FN,717376,0231545211,0231573104,scoala_blandesti@yahoo.com
2025-2026,BT,BĂLUŞENI,36319,RURAL,0761105262,ŞCOALA GIMNAZIALĂ NR. 1 BĂLUŞENI,ZĂICEŞTI,36364,RURAL,,0762102743,ŞCOALA PRIMARĂ NR.1 ZĂICEŞTI,ŞCOALA PRIMARĂ NR. 1 ZĂICEŞTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,ZAICESTI, FN,717031,0231708599,0231708599,baluseni_scoala@yahoo.com
2025-2026,BT,CONCEŞTI,36541,RURAL,0761100189,ŞCOALA GIMNAZIALĂ NR. 1 CONCEŞTI,MOVILENI,36550,RURAL,,0762103848,ŞCOALA PRIMARĂ NR. 1 MOVILENI,ŞCOALA PRIMARĂ NR. 1 MOVILENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,MOVILENI, FN,717056,0231631350,0231631350,scoala_concesti@yahoo.com
2025-2026,BT,COPĂLĂU,36578,RURAL,0761104917,ŞCOALA GIMNAZIALĂ NR. 1 COPĂLĂU,CERBU,36596,RURAL,,0762100777,ŞCOALA PRIMARĂ NR. 3 CERBU,ŞCOALA PRIMARĂ NR. 3 CERBU,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,CERBU, FN,717062,0231619331,0231619331,scoalacopalau@yahoo.com
2025-2026,BT,COPĂLĂU,36578,RURAL,0761104917,ŞCOALA GIMNAZIALĂ NR. 1 COPĂLĂU,COTU,36612,RURAL,,0762100768,ŞCOALA PRIMARĂ NR 2 COTU COPĂLĂU,ŞCOALA PRIMARĂ NR. 2 COTU,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,COTU, FN,717060,0231619331,0231619331,scoalacopalau@yahoo.com
2025-2026,BT,CORNI,36765,RURAL,0761104677,ŞCOALA GIMNAZIALĂ „OCTAV BĂNCILĂ” CORNI,BALTA ARSĂ,36774,RURAL,,0762101335,ŞCOALA PRIMARĂ NR. 1 BALTA ARSĂ,ŞCOALA PRIMARĂ NR. 1 BALTA ARSĂ,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,BALTA ARSĂ, FN,717085,0231588105,0231588105,scoalacorni@yahoo.com
2025-2026,BT,CORNI,36765,RURAL,0761104677,ŞCOALA GIMNAZIALĂ „OCTAV BĂNCILĂ” CORNI,MESTEACĂN,36783,RURAL,403,0762101362,ŞCOALA PRIMARĂ NR.2 MESTEACĂN,ŞCOALA PRIMARĂ NR. 2 MESTEACĂN,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,MESTEACĂN, FN,717085,0231588105,0231588105,scoalacorni@yahoo.com
2025-2026,BT,COŞULA,36603,RURAL,0761104338,ŞCOALA GIMNAZIALĂ „NICOLAE CĂLINESCU” COŞULA,BUDA,36587,RURAL,,0762105538,ŞCOALA PRIMARĂ NR. 1 BUDA COŞULA,ŞCOALA PRIMARĂ NR. 1 BUDA COŞULA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,BUDA,1,717061,0231619303,0231619303,scoala_cosula@yahoo.com
2025-2026,BT,COŞULA,36603,RURAL,0761104338,ŞCOALA GIMNAZIALĂ „NICOLAE CĂLINESCU” COŞULA,ŞUPITCA,36630,RURAL,,0762103726,ŞCOALA PRIMARĂ NR. 3 ŞUPITCA,ŞCOALA PRIMARĂ NR. 3 ŞUPITCA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,ŞUPITCA, FN,717067,0231619303,0231619303,scoala_cosula@yahoo.com
2025-2026,BT,COŢUŞCA,36818,RURAL,0761105036,LICEUL TEHNOLOGIC COŢUŞCA,GHIRENI,36854,RURAL,,0762100515,ŞCOALA PRIMARA NR.2 GHIRENI,ŞCOALA PRIMARĂ NR. 2 GHIRENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,GHIRENI, FN,717094,0231561518,0231561518,grupscolarcotusca@yahoo.com
2025-2026,BT,COŢUŞCA,36818,RURAL,0761105036,LICEUL TEHNOLOGIC COŢUŞCA,NICHITENI,36872,RURAL,,0762100551,ŞCOALA PRIMARA NR.3 NICHITENI,ȘCOALA PRIMARĂ NR. 3 NICHITENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,NICHITENI, FN,717097,0231561518,0231561518,grupscolarcotusca@yahoo.com
2025-2026,BT,CRISTEŞTI,36916,RURAL,0761104804,ŞCOALA GIMNAZIALĂ NR. 1 CRISTEŞTI,CRISTEŞTI,36916,RURAL,,0762101891,SCOALA PRIMARA NR 1 CRISTESTI,ȘCOALA PRIMARĂ NR 1 CRISTEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,CRISTESTI, ,717100,0231619911,0231619911,scoalacristesti@yahoo.com
2025-2026,BT,CRISTEŞTI,36916,RURAL,0761104804,ŞCOALA GIMNAZIALĂ NR. 1 CRISTEŞTI,SCHIT-ORĂŞENI,36934,RURAL,,0762101882,SCOALA PRIMARA NR. 3 SCHIT-ORASENI,ȘCOALA PRIMARĂ NR. 3 SCHIT-ORĂȘENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,SCHIT-ORASENI, ,717102,0231619911,0231619911,scoalacristesti@yahoo.com
2025-2026,BT,CRISTEŞTI,36916,RURAL,0761104804,ŞCOALA GIMNAZIALĂ NR. 1 CRISTEŞTI,UNGUROAIA,36943,RURAL,,0762101905,SCOALA PRIMARA NR. 4 UNGUROAIA,ȘCOALA PRIMARĂ NR. 4 UNGUROAIA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,UNGUROAIA, ,717102,0231619911,0231619911,scoalacristesti@yahoo.com
2025-2026,BT,CRISTINEŞTI,36961,RURAL,0761104564,ȘCOALA GIMNAZIALĂ „IOAN MURARIU’’ CRISTINEȘTI,BARANCA,36970,RURAL,,0762103789,SCOALA PRIMARA NR.2 BARANCA CRISTINESTI,ȘCOALA PRIMARĂ NR. 2 BARANCA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,BARANCA, ,717106,0231619155,0331814417,sc_cristinesti_nr_1@yahoo.com
2025-2026,BT,CRISTINEŞTI,36961,RURAL,0761104564,ȘCOALA GIMNAZIALĂ „IOAN MURARIU’’ CRISTINEȘTI,DRAGALINA,36989,RURAL,,0762103803,SCOALA PRIMARA NR. 3 DRAGALINA CRISTINESTI,ȘCOALA PRIMARĂ NR. 3 DRAGALINA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,DRAGALINA, ,717107,0231619155,0331814417,sc_cristinesti_nr_1@yahoo.com
2025-2026,BT,CRISTINEŞTI,36961,RURAL,0761104564,ȘCOALA GIMNAZIALĂ „IOAN MURARIU’’ CRISTINEȘTI,DĂMILENI,39991,RURAL,,0762103812,"SCOALA PRIMARA ""IOAN SI NATALIA CORBU’’ DAMILENI",ȘCOALA PRIMARĂ „IOAN ȘI NATALIA CORBU” DĂMILENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,DAMILENI, ,717105,0231619155,0331814417,sc_cristinesti_nr_1@yahoo.com
2025-2026,BT,CĂLĂRAŞI,36505,RURAL,0761100094,ŞCOALA GIMNAZIALĂ NR. 1 CĂLĂRAŞI,CĂLĂRAŞI,36505,RURAL,,0762105701,ȘCOALA PRIMARĂ NR. 2 CĂLĂRAȘI,ȘCOALA PRIMARĂ NR. 2 CĂLĂRAȘI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA,FN,717050,0231548829,0231548829,scoala_calarasi_jud_bt@yahoo.com
2025-2026,BT,CĂLĂRAŞI,36505,RURAL,0761100094,ŞCOALA GIMNAZIALĂ NR. 1 CĂLĂRAŞI,LIBERTATEA,36514,RURAL,,0762100429,ŞCOALA PRIMARĂ NR.4 LIBERTATEA,ŞCOALA PRIMARĂ NR. 4 LIBERTATEA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,LIBERTATEA, FN,717051,0231548829,0231548829,scoala_calarasi_jud_bt@yahoo.com
2025-2026,BT,CĂLĂRAŞI,36505,RURAL,0761100094,ŞCOALA GIMNAZIALĂ NR. 1 CĂLĂRAŞI,PLEŞANI,36523,RURAL,,0762100411,ŞCOALA PRIMARĂ NR. 3 PLEŞANI,ŞCOALA PRIMARĂ NR. 3 PLEŞANI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PLEŞANI, FN,717052,0231548829,0231548829,scoala_calarasi_jud_bt@yahoo.com
2025-2026,BT,DARABANI,35955,URBAN,0761104415,ȘCOALA GIMNAZIALĂ „LEON DĂNĂILĂ” DARABANI,DARABANI,35955,URBAN,,0762104089,SCOALA PRIMARA ’’GHEORGHE MOROSANU’’ DARABANI,ȘCOALA PRIMARĂ „GHEORGHE MOROȘANU” DARABANI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,CRINILOR,34,715100,0231631307,0231634465,leondanaila_scoala@yahoo.com
2025-2026,BT,DOBÂRCENI,37119,RURAL,0761104971,ȘCOALA GIMNAZIALĂ NR. 1 DOBÂRCENI,MURGUŢA,37155,RURAL,0002,0762102693,SCOALA PRIMARA NR. 4 MURGUTA,ȘCOALA PRIMARĂ NR. 4 MURGUȚA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,MURGUTA, ,717136,0231567017,0231567017,scoala.dobarceni@yahoo.com
2025-2026,BT,DOROBANŢI,38483,RURAL,0761104392,"ȘCOALA GIMNAZIALĂ „MIHAI CONSTANTINEANU"" DOROBANȚI",DACIA,38474,RURAL,390223,0762103251,SCOALA PRIMARA NR. 2 DACIA,ȘCOALA PRIMARĂ NR. 2 DACIA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,DACIA, ,717291,0231539662,0231539662,dorobantischool@yahoo.com
2025-2026,BT,DRĂGUŞENI,37182,RURAL,0761105167,ȘCOALA GIMNAZIALĂ „ARISTOTEL CRÂȘMARU” DRĂGUȘENI,PODRIGA,37191,RURAL,,0762100266,SCOALA PRIMARA NR.2 PODRIGA,ȘCOALA PRIMARĂ NR. 2 PODRIGA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PODRIGA, ,717141,0231549414,0231549414,draguseni_scoalagimnaziala@yahoo.com
2025-2026,BT,DUMENI,37404,RURAL,0761105384,ȘCOALA GIMNAZIALĂ NR. 1 DUMENI,ARBOREA,37413,RURAL,,0762100872,SCOALA PRIMARA NR. 5 ARBOREA,ȘCOALA PRIMARĂ NR. 5 ARBOREA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,ARBOREA, ,717171,0231628146,0231628146,s.georgeenescu@yahoo.com
2025-2026,BT,DUMENI,37404,RURAL,0761105384,ȘCOALA GIMNAZIALĂ NR. 1 DUMENI,POPENI,37431,RURAL,,0762100854,SCOALA PRIMARA NR.4 POPENI GEORGE ENESCU,ȘCOALA PRIMARĂ NR. 4 POPENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,POPENI, ,717173,0231628146,0231628146,s.georgeenescu@yahoo.com
2025-2026,BT,DURNEŞTI,37226,RURAL,0761104329,ȘCOALA GIMNAZIALĂ NR. 1 DURNEȘTI,BROŞTENI,37253,RURAL,,0762101145,SCOALA PRIMARA NR. 4 BROSTENI,ȘCOALA PRIMARĂ NR. 4 BROȘTENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,BROSTENI, ,717140,0231578014,0231578014,scoaladurnesti2006@yahoo.com
2025-2026,BT,DURNEŞTI,37226,RURAL,0761104329,ȘCOALA GIMNAZIALĂ NR. 1 DURNEȘTI,BĂBICENI,37235,RURAL,,0762101086,SCOALA PRIMARA NR. 3 BABICENI,ȘCOALA PRIMARĂ NR. 3 BĂBICENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,BABICENI, ,717146,0231578014,0231578014,scoaladurnesti2006@yahoo.com
2025-2026,BT,DURNEŞTI,37226,RURAL,0761104329,ȘCOALA GIMNAZIALĂ NR. 1 DURNEȘTI,CUCUTENI,37262,RURAL,,0762101181,SCOALA PRIMARA NR. 1 CUCUTENI,ȘCOALA PRIMARĂ NR. 1 CUCUTENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,CUCUTENI, ,717149,0231578014,0231578014,scoaladurnesti2006@yahoo.com
2025-2026,BT,DÂNGENI,37066,RURAL,0761104736,ȘCOALA GIMNAZIALĂ NR. 1 DÂNGENI,HULUB,37075,RURAL,,0762101724,SCOALA PRIMARA NR. 1 HULUB,ȘCOALA PRIMARĂ NR. 1 HULUB,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ, 67,717121,0231571056,0231571129,scoala_dingeni@yahoo.com
2025-2026,BT,DÂNGENI,37066,RURAL,0761104736,ȘCOALA GIMNAZIALĂ NR. 1 DÂNGENI,STRAHOTIN,37093,RURAL,,0762101742,SCOALA PRIMARA NR. 2 STRAHOTIN,ȘCOALA PRIMARĂ NR. 2 STRAHOTIN,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ, 46,717123,0231571002,0231571129,scoala_dingeni@yahoo.com
2025-2026,BT,FLAMÂNZI,37299,URBAN,0761105271,ȘCOALA GIMNAZIALĂ „ION BOJOI” FLĂMÂNZI,CHIŢOVENI,38438,URBAN,,0762103518,SCOALA PRIMARA ’’GHEORGHE PRICOP’’ CHITOVENI,SCOALA PRIMARA ’’GHEORGHE PRICOP’’ CHITOVENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,CHITOVENI, ,717155,0231552113,0231552119,grscnbalcescu@gmail.com
2025-2026,BT,FLAMÂNZI,37299,URBAN,0761105271,ȘCOALA GIMNAZIALĂ „ION BOJOI” FLĂMÂNZI,FLAMÂNZI,37299,URBAN,,0762101267,ŞCOALA PRIMARĂ CONSTANTIN COMICESCU FLAMÂNZI,ŞCOALA PRIMARĂ „CONSTANTIN COMICESCU” FLĂMÂNZI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,FLAMANZI, FN,717155,0231552390,0231552390,scoalanr1flamanzi@yahoo.com
2025-2026,BT,GORBĂNEŞTI,37468,RURAL,0761104487,ȘCOALA GIMNAZIALĂ NR. 1 GORBĂNEȘTI,GEORGE COŞBUC,37486,RURAL,,0762103355,SCOALA PRIMARA NR.3 GEORGE COSBUC,SCOALA PRIMARA NR.3 GEORGE COSBUC,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,GEORGE COSBUC, ,717177,0231545137,0231545105,scoalagcosbuc@yahoo.com
2025-2026,BT,GORBĂNEŞTI,37468,RURAL,0761104487,ȘCOALA GIMNAZIALĂ NR. 1 GORBĂNEȘTI,SILIŞCANI,37501,RURAL,,0762103373,SCOALA PRIMARA NR.2 SILISCANI GORBANESTI,SCOALA PRIMARA NR.2 SILISCANI GORBANESTI,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,SILISCANI, ,717179,0231545120,0231545105,scoalasiliscani@yahoo.com
2025-2026,BT,GORBĂNEŞTI,37468,RURAL,0761104487,ȘCOALA GIMNAZIALĂ NR. 1 GORBĂNEȘTI,SOCRUJENI,37510,RURAL,,0762103364,SCOALA PRIMARA NR.4 SOCRUJENI,SCOALA PRIMARA NR. 4 SOCRUJENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,SOCRUJENI, ,717181,0231545184,0231545105,scoala.socrujeni@yahoo.com
2025-2026,BT,HAVÂRNA,37556,RURAL,0761104822,ȘCOALA GIMNAZIALĂ „IOAN CERNAT’’ HAVÂRNA,BALINŢI,37565,RURAL,,0762102838,SCOALA PRIMARA ’’DUMITRU POMPAS’’ BALINTI,ȘCOALA PRIMARĂ „DUMITRU POMPAS” BALINȚI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,BALINTI, ,717191,0231629105,0231629105,scoalahavarna@yahoo.com
2025-2026,BT,HILIŞEU-HORIA,37681,RURAL,0761104668,ȘCOALA GIMNAZIALĂ NR. 1 HILIȘEU-HORIA,CORJĂUŢI,37690,RURAL,,0762103893,SCOALA PRIMARA NR. 5 CORJAUTI,ȘCOALA PRIMARĂ NR. 5 CORJĂUȚI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,CORJAUTI, ,717201,0231621131,0231621131,scoala_hiliseu_horia@yahoo.com
2025-2026,BT,HILIŞEU-HORIA,37681,RURAL,0761104668,ȘCOALA GIMNAZIALĂ NR. 1 HILIȘEU-HORIA,HILIŞEU-CLOŞCA,37707,RURAL,,0762103907,SCOALA PRIMARA NR. 4 HILISEU-CLOSCA,ȘCOALA PRIMARĂ NR. 4 HILIȘEU-CLOȘCA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,HILISEU-CLOSCA, ,717202,0231621131,0231621131,scoala_hiliseu_horia@yahoo.com
2025-2026,BT,HLIPICENI,37743,RURAL,0761105226,ȘCOALA GIMNAZIALĂ „DAN IORDĂCHESCU’’ HLIPICENI,HLIPICENI,37743,RURAL,,0762101199,SCOALA PRIMARA NR. 2 HLIPICENI,ȘCOALA PRIMARĂ NR. 2 HLIPICENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,HLIPICENI, ,717205,0231574170,0231574170,scoala_hlipiceni@yahoo.com
2025-2026,BT,HUDEŞTI,37789,RURAL,0761105009,ȘCOALA GIMNAZIALĂ NR. 1 HUDEȘTI,MLENĂUŢI,37814,RURAL,,0762100836,SCOALA PRIMARA NR. 1 MLENAUTI,ȘCOALA PRIMARĂ NR. 1 MLENĂUȚI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,MLENAUTI, ,717213,0231623170,0231623170,scoala_hudesti@yahoo.com
2025-2026,BT,HĂNEŞTI,37627,RURAL,0761100049,ȘCOALA GIMNAZIALĂ „TEOFIL VÂLCU” HĂNEȘTI,SARATA-BASARAB,37654,RURAL,,0762103495,SCOALA PRIMARA NR. 1 SARATA-BASARAB,SCOALA PRIMARA NR. 1 SARATA-BASARAB,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,SARATA-BASARAB, ,717198,0231549052,0231549052,scoala_hanesti@yahoo.com
2025-2026,BT,IPOTEŞTI,38072,RURAL,0761104772,ȘCOALA GIMNAZIALĂ „MIHAI EMINESCU” IPOTEȘTI,CUCORĂNI,38134,RURAL,,0762100352,SCOALA PRIMARA NR. 4 CUCORANI,ȘCOALA PRIMARĂ NR. 4 CUCORĂNI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,MIHAI EMINESCU,24,717252,0231517050,0231517050,sgipotesti@yahoo.com
2025-2026,BT,IPOTEŞTI,38072,RURAL,0761104772,ȘCOALA GIMNAZIALĂ „MIHAI EMINESCU” IPOTEȘTI,CĂTĂMĂREŞTI,38090,RURAL,,0762100397,SCOALA PRIMARA NR. 3 CATAMARESTI,ȘCOALA PRIMARĂ NR. 3 CĂTĂMĂREȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,MIHAI EMINESCU, 44,717247,0231517050,0231517050,sgipotesti@yahoo.com
2025-2026,BT,IPOTEŞTI,38072,RURAL,0761104772,ȘCOALA GIMNAZIALĂ „MIHAI EMINESCU” IPOTEȘTI,STÂNCEŞTI,38152,RURAL,,0762100388,SCOALA PRIMARA NR. 2 STANCESTI,ȘCOALA PRIMARĂ NR. 2 STÂNCEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,MIHAI EMINESCU, 58,717256,0231517050,0231517050,sgipotesti@yahoo.com
2025-2026,BT,LEORDA,37869,RURAL,0761105339,ȘCOALA GIMNAZIALĂ NR. 1 LEORDA,DOLINA,37896,RURAL,,0762103943,SCOALA PRIMARA NR. 3 DOLINA,ȘCOALA PRIMARĂ NR. 3 DOLINA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,DOLINA, FN,717223,0231551195,0231551195,scoalaleorda@yahoo.com
2025-2026,BT,LEORDA,37869,RURAL,0761105339,ȘCOALA GIMNAZIALĂ NR. 1 LEORDA,LEORDA,37869,RURAL,,0762103979,SCOALA PRIMARA NR. 2 LEORDA,ȘCOALA PRIMARĂ NR. 2 LEORDA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,LEORDA, ,717220,0231551195,0231551195,scoalaleorda@yahoo.com
2025-2026,BT,LUNCA,37921,RURAL,0761104288,ȘCOALA GIMNAZIALĂ NR. 1 LUNCA,LUNCA,37921,RURAL,,0762101751,SCOALA PRIMARA ’’ANDREI POPOVICI BAZNOSANU’’ LUNC,ȘCOALA PRIMARĂ „ANDREI POPOVICI BÂZNOȘANU” LUNCA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,LUNCA, ,717225,0231573820,0231573820,scoalalunca@yahoo.com
2025-2026,BT,LUNCA,37921,RURAL,0761104288,ȘCOALA GIMNAZIALĂ NR. 1 LUNCA,STROIEŞTI,37930,RURAL,,0762101769,SCOALA PRIMARA ’’PAISIE OLARU’’ STROIESTI,ȘCOALA PRIMARĂ „PAISIE OLARU” STROIEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,STROIESTI, FN,717225,0231573820,0231573820,scoalalunca@yahoo.com
2025-2026,BT,MANOLEASA,37967,RURAL,0761105298,ȘCOALA GIMNAZIALĂ NR. 1 MANOLEASA,FLONDORA,37985,RURAL,,0762102354,SCOALA PRIMARA NR. 3 FLONDORA,ȘCOALA PRIMARĂ NR. 3 FLONDORA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,FLONDORA, ,717232,0231560126,0231560126,sc_manoleasa@yahoo.com
2025-2026,BT,MANOLEASA,37967,RURAL,0761105298,ȘCOALA GIMNAZIALĂ NR. 1 MANOLEASA,SADOVENI,38036,RURAL,,0762102363,SCOALA PRIMARA NR. 4 SADOVENI,ȘCOALA PRIMARĂ NR. 4 SADOVENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, SADOVENI, FN,717238,0231560126,0231560126,sc_manoleasa@yahoo.com
2025-2026,BT,MANOLEASA,37967,RURAL,0761105298,ȘCOALA GIMNAZIALĂ NR. 1 MANOLEASA,ZAHORENI,38054,RURAL,,0762102381,SCOALA PRIMARA NR. 5 ZAHORENI,ȘCOALA PRIMARĂ NR. 5 ZAHORENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,ZAHORENI, ,717241,0231560126,0231560126,sc_manoleasa@yahoo.com
2025-2026,BT,MIHĂILENI,38170,RURAL,0761105348,ȘCOALA GIMNAZIALĂ „MARIA ENESCU COSMOVICI’’ MIHĂILENI,MIHĂILENI,38170,RURAL,,0762101683,SCOALA PRIMARA NR. 1 MIHAILENI,ȘCOALA PRIMARĂ NR. 1 MIHĂILENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,MIHAILENI, ,717260,0231625316,0231625316,mihaileni1@yahoo.com
2025-2026,BT,MIHĂILENI,38170,RURAL,0761105348,ȘCOALA GIMNAZIALĂ „MARIA ENESCU COSMOVICI’’ MIHĂILENI,PÂRÂU NEGRU,38205,RURAL,,0762101647,SCOALA PRIMARA NR. 3 PIRIU NEGRU,ȘCOALA PRIMARĂ NR. 3 PÂRÂU NEGRU,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PARAU NEGRU, ,717263,0231625316,0231625316,mihaileni1@yahoo.com
