school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
FERNVALE PRIMARY SCHOOL,www.fernvalepri.moe.edu.sg,1 Fernvale Lane   ,797701,63153051,na,63153067,na,fernvale_ps@moe.edu.sg,Fernvale LRT (Sengkang West Loop),"Along Sengkang West Ave - Bus Services 50, 163; Along Yio Chu Kang Road - Bus Services 70, 86, 103 and 854.",MR LAU ENOCH,MR RAMESH MUKUNDHAN,MADAM ONG SIM HWEE,MR KEVIN PATT,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FIRST TOA PAYOH PRIMARY SCHOOL,http://www.firsttoapayohpri.moe.edu.sg,7 LORONG 8 TOA PAYOH   ,319252,62567822,na,62561102,na,ftpps@moe.edu.sg,Braddell & Toa Payoh Stations,"157, 153, 105, 159, 88, FS238",MADAM JENNIFER HAN ENG JUAN,MADAM LEE SWEE MEI CHERYL,MS TAY YAM ENG,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FRONTIER PRIMARY SCHOOL,http://www.frontierpri.moe.edu.sg,20 Jurong West Street 61   ,648200,65789555,na,67908596,na,frontier_ps@moe.edu.sg,Pioneer MRT Station (EW28),"241, 974, 179","MADAM ANG CHAI TING, JESSIE",MADAM WONG SHI-LEI,MISS NGIAM WEE HENG,MR ANG BOON CHIN,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FUCHUN PRIMARY SCHOOL,http://www.fuchunpri.moe.edu.sg,23 WOODLANDS AVENUE 1   ,739063,63683925,na,63670117,na,fcps@moe.edu.sg,Marsiling,"187, 856, 912, 925, 950, 960, 961, 963, 963E, 963R, 966",MADAM EUNICE LIM,MR SUDHESH VASU DASH,MR TAN CHIN KEE,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FUHUA PRIMARY SCHOOL,http://www.fuhuapri.moe.edu.sg,65 JURONG EAST STREET 13   ,609647,65624370,na,65639542,na,fhps@moe.edu.sg,JURONG EAST MRT STATION,"JURONG EAST CENTRAL (BS28441): 41, 49, 52, 105, 160, 160A, 160M, 176, 183, 334, 506, JURONG EAST CENTRAL (BS28431):51, 66, 78, 79, 143, 143M, 176, 335",MR GANESAN S/O RAMAN,MADAM SEOW SWEE NEO CHRISTINA,MR MUSA B ABDUL KADIR,na,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GAN ENG SENG PRIMARY SCHOOL,http://www.ganengsengpri.moe.edu.sg,100 REDHILL CLOSE   ,158901,64717451,na,64794152,na,gesps@moe.edu.sg,Redhill,"14, 63, 147, 196, 197, 855, 961","MR LEE WEI YAP, ROY",MADAM CHUA SEOK PENG ANGELIA,MADAM WONG SEOK GHEE,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GEYLANG METHODIST SCHOOL (PRIMARY),www.geylangmethodistpri.moe.edu.sg,4 Geylang East Central   ,389706,67486746,na,67488980,na,gmsp@moe.edu.sg,Aljunied,"80, 134, 155",MADAM LEONG BENG YUET DAPHNE,MR LUA EE PING,MADAM ALISON ANG SIOK PHING,MADAM SHARON CHANTALE KOK YENG LING,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GONGSHANG PRIMARY SCHOOL,http://www.gongshangpri.moe.edu.sg,1 TAMPINES STREET 42   ,529176,67831191,na,67880004,na,gsps@moe.edu.sg,Tampines (Downtown Line and East West Line) and Tampines East (Downtown Line),"4, 8, 18, 19, 21, 37, 38, 81, 293",MRS STELLA KWAN,MDM NORA BTE OSMAN,MRS YIO YEN LING SELINA,MR FONG WAI KHIN,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GREENDALE PRIMARY SCHOOL,http://www.greendalepri.moe.edu.sg,50 Edgedale Plains   ,828848,68861413,na,68861419,na,greendale_ps@moe.edu.sg,"Punggol, LRT:  Coral Edge","3, 62, 83, 85, 386",MADAM NOORISMAWATY BTE ISMAIL,MR SIM CHIN BENG WILSON,"MDM TEO LIAN ENG, LINDA",MR CHING KIN HIN,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GREENRIDGE PRIMARY SCHOOL,http://www.greenridgepri.moe.edu.sg,11 JELAPANG ROAD   ,677744,67604265,na,67620189,na,grps@moe.edu.sg,"Senja LRT station, Jelapang LRT Station","Bus 920, 922, 972",MADAM ONG FEI MIN,MR WONG SUNG LAI,MDM LAKSHMI ARIVANANTHAN,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GREENWOOD PRIMARY SCHOOL,http://www.greenwoodpri.moe.edu.sg,11 WOODLANDS  DR  62   ,737942,63666158,na,63666159,na,greenwood_ps@moe.edu.sg,Admiralty MRT Station,"912, 913, 962",MADAM TANG PEI LU TRICILIA,MR LEE HUAN SIAK,MR MOHAMAD FAISAL BIN JAMAIN,MR TAN KAR WEE,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
HAIG GIRLS' SCHOOL,http://www.haiggirls.moe.edu.sg,51 Koon Seng Road   ,427072,63440293,na,64474169,na,haiggirlssch@moe.edu.sg,"Eunos, Dakota","16, 33",MS MARION DONNE TAY SZE LENG (ZHENG SHILING),MADAM GOH SWEE LIN EVELYN,MISS SEAH XIAO YUN SHERLYN,na,na,na,na,GEYLANG,EAST,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
HENRY PARK PRIMARY SCHOOL,http://www.henryparkpri.moe.edu.sg,1 HOLLAND GROVE ROAD   ,278790,64663600,na,64691840,na,hpps@moe.edu.sg,"Buona Vista MRT, Clementi MRT","7, 61, 75, 156, 157, 165, 92",MR CHAN GEOK ANN CHARLES,MR CHUA CHYE HOCK,MRS JEAN TOH,MISS REGINA KIM LEE HOON,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,CHINESE,MALAY,TAMIL
HOLY INNOCENTS' PRIMARY SCHOOL,http://www.holyinnocentspri.moe.edu.sg/,5 Lorong Low Koon   ,536451,62886516,na,62876393,na,holyinnocentspri@moe.edu.sg,2km walk to Hougang MRT,"51, 72, 80, 101, 119, 132, 136, 153.",MISS SEET ENG GEOK LENA,MADAM TOO SIEW HAN JOYCE,MADAM GOH HUI CHENG,MR NG CHEONG ANN,na,na,na,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
HONG WEN SCHOOL,http://www.hongwen.moe.edu.sg,30 TOWNER ROAD   ,327829,62943340,na,62937625,na,hws@moe.edu.sg,Boon Keng MRT,"Serangoon Road: 13, 23, 31, 64, 65, 66, 125, 133, 147, 857, 985, Balestier Road: 21, 125, 130, 139, 145",MRS THERESA HONG-NG,MR ONG SZE CHONG,MISS TEO AI LIN,MADAM CHRISTINE POON TZE MEI,na,na,na,KALLANG,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
HORIZON PRIMARY SCHOOL,http://www.horizonpri.moe.edu.sg,61 Edgedale Plains   ,828819,67535411,na,67523971,na,horizon_ps@moe.edu.sg,"Punggol MRT Station (NE17), (LRT: Kadaloor [PE5] or Oasis [PE6])","3, 50, 83, 85, 569",MADAM CHIA HUI KHIM,"MISS SEET SIEW LIN, PAMELA",MR AMRAN B TASRIF,MR PHANG CHEE KHENG,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
HOUGANG PRIMARY SCHOOL,http://www.hougangpri.moe.edu.sg/,1 HOUGANG ST 93   ,534238,64897445,na,64897446,na,hougang_ps@moe.edu.sg,"Ang Mo Kio, Buangkok, Hougang, Sengkang, Yio Chu Kang","SBS 43, 72, 88, 101, 109, 116, 156, 159, 325, 329","MR GOH WAI MIN, JASON",MISS LIEW PANG HAI,MADAM SHARIFAH FAIRUZ BTE S Y A,MADAM LIM SIEW GIM,na,na,na,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
HUAMIN PRIMARY SCHOOL,http://www.huaminpri.moe.edu.sg,21 YISHUN AVENUE 11   ,768857,67529004,na,67552455,na,huamin_ps@moe.edu.sg,Yishun MRT Station,"806, 804",MADAM LOE LAI PINK,MADAM BALAKRISHNAN CORINNE ANNE,MR HONG CHIN KEAT,MR LEE LIN CHIEH,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
INNOVA PRIMARY SCHOOL,http://www.innovapri.moe.edu.sg/,80 Woodlands Drive 17   ,737888,68944693,na,68942573,na,innova_pri@moe.edu.sg,Woodlands,"900A (weekdays only - 7.00 am to 8.30 am & 4.30 pm to 6.30 pm), 901",MR YEE YEW LOONG,MR LAU YEAN HUI,na,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
JIEMIN PRIMARY SCHOOL,http://www.jieminpri.moe.edu.sg,2 YISHUN STREET 71   ,768515,67586472,na,67559958,na,jiemin_ps@moe.edu.sg,Yishun MRT Station,"167, 169, 171, 800, 811, 000, 000, 000, 000, 000, 000",MR ANDY MICKEY CHOONG TEK CHOY,MISS WONG KAH WAN JOY,MR AHMAD ZAKIR BIN MOKHTAR,na,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
JING SHAN PRIMARY SCHOOL,http://www.jingshanpri.moe.edu.sg,5 ANG MO KIO ST 52   ,569228,64566305,na,64581619,na,jsps@moe.edu.sg,Ang Mo Kio MRT,Bus 265,MADAM BOEY HUEY PENG SHARON,MR JONATHON LOH,MR KOH PENG YEOW,MISS LIM EE LENG ELLEN,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
JUNYUAN PRIMARY SCHOOL,https://junyuanpri.moe.edu.sg,2 Tampines Street 91   ,528906,67830375,na,67887395,na,junyuan_ps@moe.edu.sg,Tampines West (Downtown Line); Tampines (East-West Line),"76281: 46, 65, 129, 76061: 10, 15, 20, 21, 23, 27, 31, 34, 39, 67, 168, 292, 75051: 5, 8, 15, 18, 21, 23, 28, 59, 67, 118, 168, 513, 518",MR CHAN WENG CHEONG,MRS CHEANG MENG TSING,MADAM CHUT SHI LIN,MR WILLIAM CHUE WAI LEONG,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
JURONG PRIMARY SCHOOL,http://www.jurongpri.moe.edu.sg,320 JURONG EAST Street 32   ,609476,65618837,na,65641964,na,jps@moe.edu.sg,"Lakeside MRT Station, Jurong East MRT Station",333,MR LEONARD CHUA,MISS TAN PEIRU,MRS PRABAVATHY D/O SIVAPERUMAN,MR TAN YUAN SHIN,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
JURONG WEST PRIMARY SCHOOL,http://www.jurongwestpri.moe.edu.sg,30 JURONG WEST ST 61   ,648368,67933419,na,67936593,na,jwps@moe.edu.sg,Pioneer MRT Station,192,MRS CHRISTINA LIM LAY LENG,MADAM SIM EE KOON PATRICIA,MR NG WEI PING,MR LIM CHIN GUAN,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
KEMING PRIMARY SCHOOL,http://www.kemingpri.moe.edu.sg,90 BUKIT BATOK EAST AVENUE 6   ,659762,68962054,na,65632356,na,kmps@moe.edu.sg,Bukit Batok,"61, 66, 77, 106, 157, 174, 178, 963",MR CHEN BING HONG,MISS NG MEI YUN,MR TAY KHYE PING (ZHENG KAIBIN),na,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
KHENG CHENG SCHOOL,http://www.khengcheng.moe.edu.sg/,15 LORONG 3 TOA PAYOH   ,319580,62552502,na,62556569,na,kcs@moe.edu.sg,Braddell,"SBS 235, 56, 73, 88, 157, 159, 163, 231",MADAM TAN HUILING CHERYL,MR KHOO GHEE HAN,MR SHEN PINHONG,MR PUN KIAN PENG,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
KONG HWA SCHOOL,http://www.konghwa.moe.edu.sg,350 GUILLEMARD ROAD   ,399772,63421195,na,63421120,na,konghwa_sch@moe.edu.sg,Dakota,"Service 7, 70, 70M, 197(to Guillemard Road)",MR POON SIOW LENG RAYMOND,MADAM UE TAY SZE YIN,MADAM TEO SIEW KHIM,MADAM NG BEE HOON,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
KRANJI PRIMARY SCHOOL,http://kranjipri.moe.edu.sg,11 CHOA CHU KANG STREET 54   ,689189,67634812,na,67634568,na,kranji_ps@moe.edu.sg,Yew Tee MRT,"Bus No 307, 302",MADAM WONG HIAN HWEE CONSTANCE,MADAM WONG SEOW LING,MADAM LEE LENG HUI (LI LINGHUI),na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,http://www.kuochuanpresbyterianpri.moe.edu.sg,8 BISHAN STREET 13   ,579793,62595396,na,62588012,na,kcpps@moe.edu.sg,Bishan MRT Station,"54, 56, 410, 410G",MADAM YEE-TOH GEK KHIAW,MISS LIN HUIXIN SHARON,MR TAN CHIN HENG,MISS ESTHER ONG CHIN CHIN,na,na,na,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
LAKESIDE PRIMARY SCHOOL,http://www.lakesidepri.moe.edu.sg/,161 Corporation Walk   ,618310,62620918,na,62621021,na,lakeside_ps@moe.edu.sg,Lakeside MRT,"30, 49, 98, 98M",MADAM YAP SIU LIN,MISS HAN MINGFANG CHARMAIN,MS WU YASHI,MADAM CHUA LENG LENG (CAI LINGLING),na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
LIANHUA PRIMARY SCHOOL,http://www.lianhuapri.moe.edu.sg/,2 BUKIT BATOK STREET 52   ,659243,65639502,na,65639591,na,lianhua_ps@moe.edu.sg,Bukit Gombak/Bukit Batok,945,MISS KIEW HUI LI PAMELA,MADAM MAVIS SIEW SOOK LING,MADAM TAN WAN PHING JANICE,"MR LEE TZE WEI, JEFFREY",na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MAHA BODHI SCHOOL,http://www.mahabodhi.moe.edu.sg/,10 UBI AVENUE 1   ,408931,67442115,na,67443752,na,mbs@moe.edu.sg,"Eunos Station (Transfer Bus No.63, 63M), Ubi Station (Transfer Bus No. 137)","5, 8, 15, 22, 25, 45, 51, 55, 59, 61, 63, 63M, 65, 66, 93, 94, 137, 854",MADAM TENG LAI KWAN,MR WEE HOCK MENG VICTOR,MR YE JIAMING AARON,MADAM LIM CHIU EE,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
MARSILING PRIMARY SCHOOL,http://www.marsilingpri.moe.edu.sg,31 WOODLANDS CENTRE ROAD   ,738927,62696193,na,62699050,na,marsiling_ps@moe.edu.sg,Marsiling MRT Station,"856, 911, 912",MADAM HEATHER SIM SIAW CHENG,MR JACKSON KEK,na,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MARYMOUNT CONVENT SCHOOL,http://www.marymountconvent.moe.edu.sg,20 Marymount Road   ,297754,6256 6701,6256 6532,6254 3080,na,mmcs@moe.edu.sg,"Braddell MRT Station or , Caldecott MRT Station","141, 235",MISS CHEONG HWEE KHIM,MRS MRS DEBBIE CHOW,MADAM TAN MEI MEI ANNA,"MS NG CHIOU HIEN, HELEN MRS HELEN TAN",MR LOH YEH CHANG HENRY,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MAYFLOWER PRIMARY SCHOOL,http://www.mayflowerpri.moe.edu.sg,200 Ang Mo Kio Avenue 5   ,569878,64520849,na,64534116,na,mayflower_ps@moe.edu.sg,Yio Chu Kang MRT Station.,"13, 86, 138, 162, 269, 851, 852, 853.",MISS CECILIA LIM SEOK CHENG,MADAM CHNG HWUI LIN WINEFREDE,MRS SANTHI D/O K RAMACHANDRAN,MR KWOK KENG LIAN,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MEE TOH SCHOOL,http://www.meetoh.moe.edu.sg/,21 EDGEDALE PLAINS   ,828867,64893326,na,64893243,na,meetoh_sch@moe.edu.sg,Punggol Station,"3, 62, 83, 381",MR TAY HSIEN CHUAN KELVIN,MR LEE CHONG TART RONALD,MISS PER YEN LENG,MISS CHUA CHEW HIANG,na,na,na,PUNGGOL,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MERIDIAN PRIMARY SCHOOL,http://www.meridianpri.moe.edu.sg/,20 PASIR RIS ST 71   ,518798,65832125,na,65834993,na,meridian_ps@moe.edu.sg,Pasir Ris MRT Station,"3, 359",MDM CHEW SIANG JIUN,MR LIM KIM MIN (LIN JINMIN),MR WANG TAI WEE,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
METHODIST GIRLS' SCHOOL (PRIMARY),https://www.mgs.moe.edu.sg/,11 Blackmore Drive   ,599986,64694800,na,64624166,na,mgps@moe.edu.sg,King Albert Park MRT,"66, 67, 74, 77, 151, 154, 157, 170, 171, 174, 852, 961, 970",YOONG NYOK KE PAMELA,MR HO KOK SOON,MADAM LEE CHIAK LING,MR LEE KOK BOON,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MONTFORT JUNIOR SCHOOL,http://www.montfortjunior.moe.edu.sg/,52 HOUGANG AVENUE 8   ,538786,65101588,na,65101599,na,montfort_js@moe.edu.sg,Hougang MRT & Bus Interchange,"74, 88, 101, 147, 161",MR TAN BOON HONG VICTOR,MADAM POH LEE SIEW,MR TAN WEE BOON,na,na,na,na,HOUGANG,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NAN CHIAU PRIMARY SCHOOL,http://www.ncps.moe.edu.sg,50 ANCHORVALE LINK   ,545080,64897905,na,64897906,na,ncps@moe.edu.sg,Sengkang Station,"156, 159, 161, 371, 372",MRS ONG LOH JIA MIIN,"MDM HOE QUEE HIANG, BELINDA",MR LOW HAN YI KENNY,MR WINSTON TAN WEE SING,na,na,na,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NAN HUA PRIMARY SCHOOL,http://www.nanhuapri.moe.edu.sg,30 Jalan Lempeng   ,128806,67788050,na,67784127,na,nhps@moe.edu.sg,Clementi MRT Station,"30, 51, 143, 175, 201, 533, 655, 727, 762",MADAM PHUA YIN LIN GRACE,MISS TEH LAY CHOO ANNE,"MR LIM PENG YUAN, ANDY",na,na,na,na,CLEMENTI,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,Yes,No,CHINESE,na,na
NANYANG PRIMARY SCHOOL,http://www.nyps.moe.edu.sg,52 KING'S ROAD   ,268097,64672677,na,64686913,na,nyps@moe.edu.sg,Farrer Rd MRT Station,"66, 67, 74, 93, 151, 153, 154, 156, 157, 165, 170, 171, 174, 186, 852, 855, 961",MADAM WONG LI PENG,MS LIM KAR WAE FIONA,MISS SHARLENE CHYE HUI TING,MR JAMES CHONG KOK CHIANG,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,Yes,No,CHINESE,na,na
NAVAL BASE PRIMARY SCHOOL,http://www.navalbasepri.moe.edu.sg/,7 YISHUN AVE 4   ,769028,67537114,na,67555355,na,nbps@moe.edu.sg,Yishun MRT Station,Feeder bus No. 811 from Yishun Interchange.,MR CHIA CHEE WENG RICHARD CHRIS,MADAM LIM WAI CHOO MRS GOH WAI CHOO,MR RAJINDER SINGH S/O PIARA SINGH,MR PHUA YONG SWEE,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NEW TOWN PRIMARY SCHOOL,http://www.newtownpri.moe.edu.sg/,300 Tanglin Halt Road   ,148812,64748805,na,64741249,na,ntps@moe.edu.sg,Commonwealth MRT Station,"SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855",MISS HANNAH CHIA CUI'E,MRS CHIN WEY LING LYNNE,MRS TRINA POOK SIM NAR,MADAM FOO HUEY YING (FU HUIYING),na,na,na,QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NGEE ANN PRIMARY SCHOOL,http://www.ngeeannpri.moe.edu.sg,344 MARINE TERRACE   ,449149,64418677,na,64417411,na,naps@moe.edu.sg,Nil,"13, 16, 16M, 31, 36, 43, 47, 48, 55, 135, 196, 196E, 197, 853M (at Marine Parade road), 13, 16, 16M, 196 and 196E(at Marine Terrace)",MADAM PANG SIU SAN,MADAM LEE LI LI,MADAM LOW LEE CHERN,MS RYNNE CHRISTINE CHUA LI LI,na,na,na,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NORTH SPRING PRIMARY SCHOOL,http://www.northspringpri.moe.edu.sg,1 RIVERVALE STREET   ,545088,68816887,63888764,63851044,na,nsps@moe.edu.sg,"NEL - Sengkang Station, LRT - Bakau Station","SBS Transit Services 82, 85, 86, 88, 119, 136, 163, 372",MADAM PHAN SWEE LIN SHERIN JACINTA,MADAM SALIEMA BINTE MOHAMED IQBAL,MADAM LIM SHEUE TYUG,MISS JESSICA YAT,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NORTH VIEW PRIMARY SCHOOL,http://www.northviewpri.moe.edu.sg,210 YISHUN AVENUE 6   ,768960,67593235,na,67593237,na,nvps@moe.edu.sg,"Yishun, Khatib","Feeder Service 804, 806, 807, 860",MRS GRACE CHUA,MADAM LING SOOK LENG,MRS NUR FATIMAH BTE ABDUL MALIK MRS NUR FATIMAH FRAUDER,MR CHAN SOON HUA,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NORTH VISTA PRIMARY SCHOOL,http://www.northvistapri.moe.edu.sg,20 Compassvale Link   ,544974,64843566,na,64843568,na,nvtps@moe.edu.sg,"Buangkok MRT (NE15), Ranggung LRT (SE5)",na,Ong Lye Whatt,MISS GOH AI LING,MR MOHD AZUAN TAN,MADAM KANG SIEW LENG AUDREY,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NORTHLAND PRIMARY SCHOOL,http://www.northlandpri.moe.edu.sg,15 YISHUN AVENUE 4   ,769026,67598884,na,67559196,na,northland_ps@moe.edu.sg,Yishun MRT Station,812 (next to bus service number 171) at Yishun Interchange,MR JAY WESTLY MAHARDALE,MR CHONG CHOONG HIAN,MISS LEE QUEE CHOO GINA,na,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NORTHOAKS PRIMARY SCHOOL,http://www.northoakspri.moe.edu.sg,61 Sembawang Drive   ,757622,6753 8835,na,6753 8864,na,northoaks_ps@moe.edu.sg,Sembawang MRT,Bus number 962,"MR CHER TECK YIANG, LUKE MELVIN",MADAM KOMATHI D/O GOVINDASAMY,MR OW EU GENE JOHN,MADAM NEO BEE BEE,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
