Назва закладу освіти,Код в ЄДЕБО,ОУО підтвердив дані,Скорочена назва,Статус,Тип закладу,Форма власності,Код КОАТУУ,Регіон,Населений пункт,Місцезнаходження (юридична адреса),Код КАТОТТГ,Населений пункт (за КАТОТТГ),Головний заклад,"Найменування органу, до сфери управління якого належить заклад освіти",Телефон,Факс,Електронна пошта,Веб-сайт,Керівник,Опорний / Філія,Сільський,Гірський,Інтернат,Ліцензовані обсяги
Новомихайлівський заклад загальної середньої освіти І-ІІ ступенів Решетилівської міської ради Полтавської області,135394,Так,Новомихайлівський ЗЗСО І-ІІ ступенів,реорганізовано,школа,Комунальна,5324282801,Полтавська область,"с. Нова Михайлівка, Решетилівський район, Полтавська область","вулиця Миру, 48",UA53080390470038743,"Полтавська обл., Полтавський р-н",,Відділ освіти Решетилівської міської ради Полтавської області,(0536)393540,,novozoch-school-86@ukr.net,,Кісіль Віталій Георгійович,Ні,Так,Ні,Ні,
Костянтинівський заклад загальної середньої освіти I-III ступенів №16 Костянтинівської міської ради Донецької області,135395,Так,Костянтинівський ЗЗСО №16,працює,школа,Комунальна,1412600000,Донецька область,"Костянтинівка, Донецька область","вулиця Преображенська, 60",UA14120070010085843,Донецька обл.,,Управління освіти Костянтинівської міської ради,(06272)42320,,school16konst@gmail.com,https://sckonst.wixsite.com/school16,Потримай Тетяна Володимирівна,Ні,Ні,Ні,Ні,660
ВИСОКОПІЛЬСЬКИЙ ЛІЦЕЙ ВАЛКІВСЬКОЇ МІСЬКОЇ РАДИ БОГОДУХІВСЬКОГО РАЙОНУ ХАРКІВСЬКОЇ ОБЛАСТІ,135396,Так,ВИСОКОПІЛЬСЬКИЙ ЛІЦЕЙ,працює,ліцей,Комунальна,6321281501,Харківська область,"с. Високопілля, Валківський район, Харківська область","вулиця Молодіжна, 3",UA63020030120026899,"Харківська обл., Богодухівський р-н",,Відділ освіти Валківської міської ради,(05753)6-92-25,,vys.zzso@gmail.com,http://zoshvisokopilla.ucoz.ua,Зінченко Валентина Олександрівна,Ні,Так,Ні,Ні,
Вознесенська гімназія №5 Вознесенської міської ради Миколаївської області,135397,Так,Вознесенська гімназія №5 Вознесенської МР,працює,гімназія,Комунальна,4810200000,Миколаївська область,"Вознесенськ, Миколаївська область","вулиця 80-ї штурмової, 205",UA48040070010053688,Миколаївська обл.,,Управління освіти Вознесенської міської ради,(05134)37735,,school-n5@ukr.net,https://sites.google.com/view/voz-school5,Варзар Наталія Миколаївна,Ні,Ні,Ні,Ні,690
"Нововасилівський ліцей ""Гармонія"" Нововасилівської селищної ради",135398,Так,"Нововасилівський ліцей ""Гармонія""",працює,ліцей,Комунальна,2310100000,Запорізька область,"Запоріжжя, Запорізька область","вулиця Перша Ливарна, 38",UA23060070010069526,Запорізька обл.,,Відділ освіти та культури Нововасилівської селищної ради,(097)5401078,,nvkgarmonij@gmail.com,http://novovasylivka.edukit.zp.ua,Задирака Олена Юріївна,Опорний заклад,Ні,Ні,Ні,
Криворізька гімназія №108 Криворізької міської ради,135399,Так,КГ №108 КМР,працює,гімназія,Комунальна,1211036400,Дніпропетровська область,"Кривий Ріг, Дніпропетровська область","вулиця Соборності, 115",UA12060170010145934,"Дніпропетровська обл., м. Кривий Ріг",,Відділ освіти виконкому Довгинцівської районної в місті ради,"(0564)701032, (0564)701033",,kzs108@i.ua,https://kzs108.dp.ua/,Стешина Людмила Олександрівна,Ні,Ні,Ні,Ні,685
комунальний навчальний заклад Ходорівської міської ради Львівської області загальноосвітня школа І ступеня № 19 с.Рудківці,135400,Так,Рудківцівська ЗОШ І ст. №19,ліквідовано,школа,Комунальна,4621587503,,"с. Рудківці, Жидачівський район, Львівська область","вулиця Просвіти, 53",,,,"Відділ освіти, молоді та спорту виконавчого комітету Ходорівської міської ради",(097)7492218,,rudkivcizosh@gmail.com,,Кобрин Галина Зеновіївна,Ні,Так,Ні,Ні,
"комунальний заклад ""Дергачівський ліцей №2"" Дергачівської міської ради",135401,Так,"КЗ ""Дергачівський ліцей №2""",працює,ліцей,Комунальна,6322010100,Харківська область,"Дергачі, Дергачівський район, Харківська область","вулиця Садова, 8",UA63120070010085847,"Харківська обл., Харківський р-н",,Управління освіти та культури Дергачівської міської ради,(05763)30293,,2licey@ukr.net,https://dergachi2.licey.org.ua,Гаплєвська Інна Борисівна,Ні,Ні,Ні,Ні,
"комунальний заклад ""Матвіївський академічний ліцей"" Запорізької обласної ради",135402,Так,"КЗ ""Матвіївський академічний ліцей"" ЗОР",працює,ліцей,Комунальна,2321583601,Запорізька область,"с. Матвіївка, Вільнянський район, Запорізька область","вулиця Центральна, 71-А",UA23060130010016800,"Запорізька обл., Запорізький р-н",,Департамент освіти і науки Запорізької обласної державної адміністрації,"(06143)94308, (06143)94110, (06143)94403",,matv.school-int@ukr.net,http://matveevkaschool.wixsite.com/internat,Гончаренко Наталя Іванівна,Ні,Так,Ні,Ні,
"комунальний заклад ""Маріупольська загальноосвітня школа I-III ступенів №54 Маріупольської міської ради Донецької області""",135403,Так,Маріупольська ЗОШ № 54,працює,школа,Комунальна,1412337200,Донецька область,"Маріуполь, Донецька область","вулиця Кронштадтська, 11-А",UA14140050010350963,"Донецька обл., м. Маріуполь",,Департамент освіти Маріупольської міської ради,"(0629)37-12-55, (0629)37-11-66",,marschool54@i.ua,http://thailia.wix.com/marschool54,Тілініна Тетяна Володимирівна,Ні,Ні,Ні,Ні,
Роздольський ліцей Роздольської сільської ради Василівського району Запорізької області,135404,Так,Роздольський ліцей,працює,ліцей,Комунальна,2310136300,Запорізька область,"Запоріжжя, Запорізька область","вулиця Університетська, 55-А",UA23060070010595678,"Запорізька обл., м. Запоріжжя",,Роздольська сільська рада Михайлівського району Запорізької області,(068)0841599,,rozdol_shkola@meta.ua,https://shalay595.wixsite.com/kzrozdol,Катречко Галина Василівна,Опорний заклад,Так,Ні,Ні,
Тернівський ліцей Петро-Михайлівської сільської ради,135405,Так,Тернівський ліцей,працює,ліцей,Комунальна,2321587301,Запорізька область,"с. Тернівка, Вільнянський район, Запорізька область","вулиця Зачиняєва, 1-А",UA23060250140031042,"Запорізька обл., Запорізький р-н",,"Відділ освіти, культури, молоді та спорту Петро-Михайлівської сільської ради",(06143)95144,,ternzosh@ukr.net,http://ternivka-nvk.zp.sch.in.ua/,Соболь Ірина Анатоліївна,Ні,Так,Ні,Ні,
Комунальний заклад «Троїцька гімназія» Берестівської сільської ради Бердянського району Запорізької області,135406,Так,КЗ «Троїцька гімназія»,працює,гімназія,Комунальна,2320682501,Запорізька область,"с. Троїцьке, Бердянський район, Запорізька область","вулиця Шкільна, 2",UA23020070110063032,"Запорізька обл., Бердянський р-н",,"Відділ освіти, культури, молоді та спорту Берестівської сільської ради",(06153)97104,,kmarksa.school@meta.ua,https://sites.google.com/view/troickyilicey,Бондарчук Валентин Вячеславович,Ні,Так,Ні,Ні,
"Мельниківський навчально - виховний комплекс ""Заклад дошкільної освіти - заклад загальної середньої освіти І ступеня"" Медведівської сільської ради Черкаського району Черкаської області",135407,Так,"Мельниківський НВК ""ЗДО-ЗЗСО І ст.""",реорганізовано,навчально-виховний комплекс (об'єднання),Комунальна,7125484001,,"с. Мельники, Чигиринський район, Черкаська область","вулиця Холодноярська, 95",,,,Медведівська сільська рада,(063)6446819,,medvedivka_school@ukr.net,,Казначей Ірина Василівна,Ні,Так,Ні,Ні,
Заболотiвецька гімназія Жидачівської міської ради Львівської області,135408,Так,Заболотiвецька гімназія,працює,гімназія,Комунальна,4621580603,Львівська область,"с. Заболотівці, Жидачівський район, Львівська область","вулиця Івана Виговського, 93А",UA46100050080037077,"Львівська обл., Стрийський р-н",,Відділ освіти Жидачівської міської ради,(098)2580994,,schoolzab70@gmail.com,,Михайленко Ігор Миколайович,Ні,Так,Ні,Ні,
Новосiльська початкова школа Гніздичівської селищної ради Львівської області,135409,Так,Новосiльська початкова школа,працює,школа,Комунальна,4621585607,Львівська область,"с. Нове Село, Жидачівський район, Львівська область","вулиця Шевченка, 103",UA46100010100014472,"Львівська обл., Стрийський р-н",,"Відділ освіти, охорони здоров'я та соціально-культурної сфери виконавчого комітету Гніздичівської селищної ради",(097)3817107,,nadiya.yamnich@ukr.net,,Ольшанецький Іван Васильович,Ні,Так,Ні,Ні,
Новопрокопівський заклад загальної середньої освіти Токмацької міської ради,135410,Так,Новопрокопівський ЗЗСО,призупинено,школа,Комунальна,2325283201,Запорізька область,"с. Новопрокопівка, Токмацький район, Запорізька область","вулиця Нова, 25",UA23100270090070068,"Запорізька обл., Пологівський р-н",,Відділ освіти Токмацької міської ради,(097)6240931,,allavoloshina1979@gmail.com,https://novoprokopivskyi.eddy.school,Медведєва Лариса Олексіївна,Ні,Так,Ні,Ні,
Костянтинівський заклад загальної середньої освіти I-III ступенів №1 Костянтинівської міської ради Донецької області,135411,Так,Костянтинівський ЗЗСО №1,працює,школа,Комунальна,1412600000,Донецька область,"Костянтинівка, Донецька область","вулиця Європейська, 58",UA14120070010085843,Донецька обл.,,Управління освіти Костянтинівської міської ради,(066)7926747,,konst.zzso@gmail.com,http://kostzzso1.com.ua,Мережко Олександр Вікторович,Ні,Ні,Ні,Ні,900
"Навчально-виховний комплекс ""Загальноосвітня школа I-III ступенів - дошкільний навчальний заклад"" Костянтинівської міської ради Донецької області",135412,Так,Костянтинівський НВК-сад,працює,навчально-виховний комплекс (об'єднання),Комунальна,1412600000,Донецька область,"Костянтинівка, Донецька область","вулиця Вінницька, 44",UA14120070010085843,Донецька обл.,,Управління освіти Костянтинівської міської ради,(06272)61956,,konst_nvk@ukr.net,https://kostnvkschool.wixsite.com/website,Гладиш Людмила Анатоліївна,Ні,Ні,Ні,Ні,660
Український ліцей Апостолівської міської ради Криворізького району Дніпропетровської області,135413,Так,Український ліцей,працює,ліцей,Комунальна,1220310101,Дніпропетровська область,"с-ще Українка, Апостолівський район, Дніпропетровська область","вулиця Центральна, 1",UA12060010200045542,"Дніпропетровська обл., Криворізький р-н",,"УПРАВЛІННЯ ОСВІТИ, КУЛЬТУРИ, МОЛОДІ ТА СПОРТУ АПОСТОЛІВСЬКОЇ МІСЬКОЇ РАДИ",(05656)50743,,ukrainskashkola@ukr.net,http://schoolukrainka.dnepredu.com,Вчорашній Василь Володимирович,Ні,Ні,Ні,Ні,
"Хрущівський навчально-виховний комплекс ""загальноосвітня школа I-ІІI ступенів - дошкільний навчальний заклад"" Зорівської сільської ради Золотоніського району Черкаської області",135414,Так,Хрущівський НВК,працює,навчально-виховний комплекс (об'єднання),Комунальна,7121587403,Черкаська область,"с. Хрущівка, Золотоніський район, Черкаська область","вулиця Шевченка, 2",UA71040110070083289,"Черкаська обл., Золотоніський р-н",,Виконавчий комітет Зорівської сільської ради,(096)624-1226,,hrusch_zosh@ukr.net,,Кулик Юрій Михайлович,Ні,Так,Ні,Ні,392
"Комунальний заклад ""Миколаївський заклад загальної середньої освіти І ступеня Дубовиківської сільської ради Дніпропетровської області""",135415,Так,КЗ Миколаївський ЗЗСО І-ступеня,призупинено,школа,Комунальна,1220786601,Дніпропетровська область,"с. Миколаївка, Васильківський район, Дніпропетровська область","вулиця Центральна, 4",UA12140070180021991,"Дніпропетровська обл., Синельниківський р-н",,"Відділ освіти ,молоді , спорту, культури, туризму та релігії Дубовиківської сільської ради Синельниківського району Дніпропетровської області",(095)6298217,,mikolayovka@gmail.com,http://mikolayovka.dnepredu.com,Олефірова Наталя Анатоліївна,Ні,Так,Ні,Ні,
Гвіздецька спеціальна загальноосвітня школа-інтернат Івано-Франківської обласної ради,135416,Так,Гвіздецька СЗШІ,ліквідовано,спеціальна школа-інтернат,Комунальна,2623255200,Івано-Франківська область,"смт Гвіздець, Коломийський район, Івано-Франківська область","вулиця Івана Франка, 34",UA26080010010051392,"Івано-Франківська обл., Коломийський р-н",,Департамент освіти і науки Івано-Франківської обласної державної адміністрації,(03433)6-13-98,,direkt2007@ukr.net,gvizdetskaszoshi.if.ua,Вахняк Надія Григорівна,Ні,Ні,Ні,Так,
Олександрівська загальноосвітня школа І-ІІІ ступенів Олександрівської сільської ради Приазовського району Запорізької області,135417,Так,Олександрівська ЗОШ,призупинено,школа,Комунальна,2324580301,Запорізька область,"с. Олександрівка, Приазовський район, Запорізька область","вулиця Центральна, 73",UA23080190010020260,"Запорізька обл., Мелітопольський р-н",,"Відділ освіти, культури, молоді, спорту, туризму та архівної роботи Олександрівської сільської ради",(061)3391641,,olex_school@ukr.net,http://olexprz.osvita.zp.ua,Грицун Валентина Петрівна,Ні,Так,Ні,Ні,
Кропивнянська гімназія філія Уланівського ліцею Уланівської сільської ради,135418,Так,Кропивнянська гімназія,працює,школа,Комунальна,0524883101,Вінницька область,"с. Кропивна, Хмільницький район, Вінницька область","вулиця Миру, 49",UA05120150100037020,"Вінницька обл., Хмільницький р-н",Уланівський ліцей Уланівської сільської ради,"Відділ освіти, культури, молоді і спорту Уланівської сільської ради",(04338)35240,,Kr0pivna@ukr.net,,Степанюк Людмила Василівна,Філія,Так,Ні,Ні,
"Журавський навчально-виховний комплекс ""Загальноосвітня школа I-IІ ступенів - дошкільний навчальний заклад"" Городищенської районної ради Черкаської області",135419,Так,,ліквідовано,навчально-виховний комплекс (об'єднання),Комунальна,7120383001,Черкаська область,"с. Журавка, Городищенський район, Черкаська область","вулиця Леніна, 8",UA71020250050060076,"Черкаська обл., Звенигородський р-н",,,(047)343-92-26,,juravka_nvk@ukr.net,http://juravka-nvk.at.ua,Черняк Віталій Вікторович,Ні,Так,Ні,Ні,
"Комунальний заклад ""Новомиколаївський навчально-реабілітаційний центр ""Паросток"" імені В.А. Польського"" Запорізької обласної ради",135420,Так,Новомик. НРЦ Паросток ім. В.А.Польського,працює,спеціальна школа-інтернат,Комунальна,2323655100,Запорізька область,"смт Новомиколаївка, Новомиколаївський район, Запорізька область","вулиця Соборності, 194",UA23060190010048202,"Запорізька обл., Запорізький р-н",,Департамент освіти і науки Запорізької обласної державної адміністрації,"(06144)9-16-81, (06144)9-14-52",,iparostok@ukr.net,http://nparostok.ucoz.net,Ракович Лариса Миколаївна,Ні,Ні,Ні,Так,
Дубівський ліцей Бабанської селищної ради Уманського району Черкаської області,135421,Так,Дубівський ліцей Бабанської селищної ради,працює,ліцей,Комунальна,7124383101,Черкаська область,"с. Дубова, Уманський район, Черкаська область","вулиця Шкільна, 14",UA71060010050020284,"Черкаська обл., Уманський р-н",,"Відділ освіти, культури, молоді та спорту Бабанської селищної ради",(047)4492640,,dybova_1971@ukr.net,http://dybova-nvk.edukit.ck.ua,Косаринська Ніна Олександрівна,Ні,Так,Ні,Ні,
"Драбівецький навчально-виховний комплекс ""загальноосвітня школа I-III ступенів - дошкільний навчальний заклад"" Новодмитрівської сільської ради Золотоніського району Черкаської області",135422,Так,Драбівецький НВК,працює,навчально-виховний комплекс (об'єднання),Комунальна,7121584301,Черкаська область,"с. Драбівці, Золотоніський район, Черкаська область","вулиця Центральна, 15",UA71040150070061727,"Черкаська обл., Золотоніський р-н",,Відділ освіти виконавчого комітету Новодмитрівської сільської ради Золотоніського району Черкаської області,(097)9516668,,drabivtsi@ukr.net,https://okhrimenkomaryna72.wixsite.com/drabivtsi,Охріменко Галина Іванівна,Ні,Так,Ні,Ні,300
"Калениківський навчально-виховний комплекс ""загальноосвітня школа I-III ступенів - дошкільний навчальний заклад"" Гельмязівської сільської ради Золотоніського району Черкаської області",135423,Так,"Калениківський НВК ""ЗОШ І-ІІІ ст. - ЗДО""",працює,навчально-виховний комплекс (об'єднання),Комунальна,7121585101,Черкаська область,"с. Каленики, Золотоніський район, Черкаська область","вулиця Супійська, 1",UA71040050050043274,"Черкаська обл., Золотоніський р-н",,Відділ освіти виконавчого комітету Гельмязівської сільської ради Золотоніського району Черкаської області,(093)753-3036,,school_of_kaleniki@ukr.net,https://kalenyk-school.jimdofree.com/,Маслюченко Тамара Миколаївна,Ні,Так,Ні,Ні,320
Барський ліцей №1 Барської міської ради,135424,Так,Барський ліцей №1,працює,школа,Комунальна,0520210100,Вінницька область,"Бар, Барський район, Вінницька область","вулиця Гагаріна, 15",UA05060010010059821,"Вінницька обл., Жмеринський р-н",,Відділ освіти Барської міської ради,(04341)2-41-97,,zosh1bar@gmail.com,http://zosh1bar.at.ua,Нестерук Леонід Борисович,Ні,Ні,Ні,Ні,910
"Комунальний заклад ""Гімназія №4"" Кам'янської міської ради",135425,Так,Гімназія №4,працює,гімназія,Комунальна,1210436900,Дніпропетровська область,"Кам'янське, Дніпропетровська область","вулиця Гайдамацька, 5",UA12040150010213957,"Дніпропетровська обл., м. Кам’янське",,Департамент освіти Кам’янської міської ради,(096)1214570,,school4.dndz@gmail.com,http://school4dndz.org.ua,Клімова Ніна Анатоліївна,Ні,Ні,Ні,Ні,580
"Деньгівський навчально-виховний комплекс ""загальноосвітня школа I-III ступенів - заклад дошкільної освіти"" Золотоніської міської ради Черкаської області",135426,Так,Деньгівський НВК,працює,навчально-виховний комплекс (об'єднання),Комунальна,7121583101,Черкаська область,"с. Деньги, Золотоніський район, Черкаська область","вулиця Центральна, 123",UA71040090030036768,"Черкаська обл., Золотоніський р-н",,Відділ освіти виконавчого комітету Золотоніської міської ради,(097)333-6372,,denhischool@gmail.com,https://school.org.ua/rada,Полякова Марія Григорівна,Ні,Так,Ні,Ні,250
Костянтинівський заклад загальної середньої освіти I-II ступенів №8 Костянтинівської міської ради Донецької області,135427,Так,Костянтинівський ЗЗСО №8,призупинено,школа,Комунальна,1412600000,Донецька область,"Костянтинівка, Донецька область","вулиця Трудова, 479",UA14120070010085843,Донецька обл.,,Управління освіти Костянтинівської міської ради,(06272)43474,,school8konst@gmail.com,http://inter1-konst.ucoz.ua/,Севастьянова Вікторія Василівна,Ні,Ні,Ні,Ні,
Мар'ївський ліцей Магдалинівської селищної ради,135428,Так,Мар'ївський ліцей,працює,ліцей,Комунальна,1222384501,Дніпропетровська область,"с. Мар'ївка, Магдалинівський район, Дніпропетровська область","вулиця Адміністративна, 10",UA12100050180049832,"Дніпропетровська обл., Самарівський р-н",,Відділ освіти Магдалинівської селищної ради,(05691)93140,,celomarivka@mag-osvita.dp.ua,celomarivka.dnepredu.com,Дуфала Віта Миколаївна,Ні,Так,Ні,Ні,196
"Запорізька початкова школа ""Прогрес"" Запорізької міської ради",135429,Так,"ЗПШ ""Прогрес""",працює,початкова школа,Комунальна,2310137500,Запорізька область,"Запоріжжя, Запорізька область","вулиця Бочарова, 5А",UA23060070010748330,"Запорізька обл., м. Запоріжжя",,ЛІВОБЕРЕЖНИЙ ВІДДІЛ ОСВІТИ ДЕПАРТАМЕНТУ ОСВІТИ І НАУКИ ЗАПОРІЗЬКОЇ МІСЬКОЇ РАДИ,(061)286-24-85,,schoolprogress2000@ukr.net,https://www.progres.zp.ua/,Сукач Світлана Іванівна,Ні,Ні,Ні,Ні,
Сухинівська філія Квітчанського ліцею імені Василя Отземка Селищенської сільської ради Черкаської області,135430,Так,Сухинівська гімназія,працює,гімназія,Комунальна,7122589001,Черкаська область,"с. Сухини, Корсунь-Шевченківський район, Черкаська область","вулиця Шевченка, 35",UA71020250130012672,"Черкаська обл., Звенигородський р-н",Квітчанський ліцей імені Василя Отземка Селищенської сільської ради Черкаської області,"Сектор освіти, культури, молоді, спорту та інформаційної політики Селищенської сільської ради",(067)6617697,,suhininvk@ukr.net,https://suhyny.gmz.org.ua/,Пилипей Наталія Петрівна,Філія,Так,Ні,Ні,
Криворізька гімназія №65 Криворізької міської ради,135431,Так,КГ №65 КМР,працює,гімназія,Комунальна,1211036400,Дніпропетровська область,"Кривий Ріг, Дніпропетровська область","вулиця Степана Тільги, 63",UA12060170010145934,"Дніпропетровська обл., м. Кривий Ріг",,Відділ освіти виконкому Довгинцівської районної в місті ради,(056)4701009,,kzsh65@ukr.net,http://kzsh65.pp.ua,Субота Володимир Миколайович,Ні,Ні,Ні,Ні,560
Криворізька гімназія №130 Криворізької міської ради,135432,Так,КГ №130 КМР,працює,гімназія,Комунальна,1211036400,Дніпропетровська область,"Кривий Ріг, Дніпропетровська область","вулиця Незалежності України, 12",UA12060170010145934,"Дніпропетровська обл., м. Кривий Ріг",,Відділ освіти виконкому Довгинцівської районної в місті ради,"(056)4701044, (056)4701045, (056)4701043",,sh130kr@ukr.net,http://sch130.dnepredu.com/,Яковлева Тетяна Анатоліївна,Ні,Ні,Ні,Ні,1507
"Запорізька гімназія ""Контакт"" Запорізької міської ради Запорізької області",135433,Так,"Запорізька гімназія ""Контакт""",працює,гімназія,Комунальна,2310137200,Запорізька область,"Запоріжжя, Запорізька область","вулиця Сєдова, 1-В",UA23060070010154443,"Запорізька обл., м. Запоріжжя",,Центральний відділ освіти департаменту освіти і науки Запорізької міської ради,"(061)2268429, (061)2268422",,kontaktzp@gmail.com,http://www.znvk-kontakt.zp.ua,Заварзіна Тамара Василівна,Ні,Ні,Ні,Ні,
"Запорізький академічний ліцей ""Логос"" Запорізької міської ради",135434,Так,"Запорізький академічний ліцей ""Логос""",працює,ліцей,Комунальна,2310137200,Запорізька область,"Запоріжжя, Запорізька область","вулиця Рекордна, 27-А",UA23060070010154443,"Запорізька обл., м. Запоріжжя",,Центральний відділ освіти департаменту освіти і науки Запорізької міської ради,(061)7648877,,zllog90@gmail.com,http://www.logos.zp.ua,Могилін Олександр Володимирович,Ні,Ні,Ні,Ні,
Вапнярський ліцей № 1 Вапнярської селищної ради Вінницької області,135435,Так,Вапнярський ліцей №1,працює,ліцей,Комунальна,0523955400,Вінницька область,"смт Вапнярка, Томашпільський район, Вінницька область","вулиця Островського, 2",UA05100030010044215,"Вінницька обл., Тульчинський р-н",,"Відділ освіти, культури, молоді та спорту Вапнярської селищної ради об`єднаної територіальної громади",(04350)3-20-02,,vapschool-1@ukr.net,http://vapniarska-shkola1.in.ua,Шумлянська Ірина Вікторівна,Ні,Ні,Ні,Ні,
"Запорізька гімназія ""Запорізька Січ"" Запорізької міської ради",135436,Так,"Запорізька гімназія ""Запорізька Січ""",працює,гімназія,Комунальна,2310137200,Запорізька область,"Запоріжжя, Запорізька область","вулиця Січі, 3",UA23060070010154443,"Запорізька обл., м. Запоріжжя",,Центральний відділ освіти департаменту освіти і науки Запорізької міської ради,"(061)2268543, (061)2268544",,mzk.zsich1@gmail.com,http://www.zaporizka-sich.at.ua,Ганжа Лариса Олександрівна,Ні,Ні,Ні,Ні,
"Лиманський навчально-виховний комплекс ""Загальноосвітня школа І-ІІ ступенів - дошкільний навчальний заклад"" №1 Лиманської міської ради Донецької області",135437,Так,Лиманський НВК №1,призупинено,навчально-виховний комплекс (об'єднання),Комунальна,1413390003,Донецька область,"с-ще Ставки, Лиман, Донецька область","вулиця Шевченка, 12А",UA14120110400046576,"Донецька обл., Краматорський р-н",,"Управління освіти, молоді та спорту Лиманської міської ради",(06261)31133,,zosh-stavki@ukr.net,http://sites.google.com/view/nvkstavki,Римар Наталія Євгенівна,Ні,Ні,Ні,Ні,
Вапнярська гімназія-філія Вапнярського ліцею №2 Вапнярської селищної ради Вінницької області,135438,Так,Вапнярська гімназія-філія Вапнярського ліцею № 2,працює,гімназія,Комунальна,0523955400,Вінницька область,"смт Вапнярка, Томашпільський район, Вінницька область","вулиця Авіаторів, 145",UA05100030010044215,"Вінницька обл., Тульчинський р-н",Вапнярський ліцей №2 Вапнярської селищної ради Вінницької області,"Відділ освіти, культури, молоді та спорту Вапнярської селищної ради об`єднаної територіальної громади",(04350)30368,,vapn3_school@ukr.net,vapnyarka-school3.in.ua,Іванчихін Анатолій Миколайович,Філія,Ні,Ні,Ні,
"Комунальний заклад ""Лазурненський заклад загальної середньої освіти І ступеня Семенівської сільської ради"" Мелітопольського району Запорізької області.",135439,Так,ЗЗСО Лазурненської ЗШ І ст.,ліквідовано,школа,Комунальна,2323083507,Запорізька область,"с. Лазурне, Мелітопольський район, Запорізька область","вулиця Молодіжна, 8",UA23080250060058369,"Запорізька обл., Мелітопольський р-н",,Відділ освіти Семенівської сільської ради,(0619)498125,,shkolal.lazurnoe@gmail.com,https://lazurnenskaya88.e-schools.info/,Карташова Наталія Олександрівна,Ні,Так,Ні,Ні,
ВАЛКІВСЬКИЙ ЛІЦЕЙ ІМЕНІ ОЛЕКСАНДРА МАСЕЛЬСЬКОГО ВАЛКІВСЬКОЇ МІСЬКОЇ РАДИ БОГОДУХІВСЬКОГО РАЙОНУ ХАРКІВСЬКОЇ ОБЛАСТІ,135440,Так,ВАЛКІВСЬКИЙ ЛІЦЕЙ,працює,ліцей,Комунальна,6321210100,Харківська область,"Валки, Валківський район, Харківська область","вулиця Харківська, 24",UA63020030010038669,"Харківська обл., Богодухівський р-н",,Відділ освіти Валківської міської ради,(057)5351578,,veriv58@ukr.net,https://valky-liceum.e-schools.info/,Котелевець Надія Андріївна,Опорний заклад,Ні,Ні,Ні,
Гулівська гімназія з дошкільним підрозділом Барської міської ради,135441,Так,Гулівська гімназія,працює,навчально-виховний комплекс (об'єднання),Комунальна,0520281401,Вінницька область,"с. Гулі, Барський район, Вінницька область","вулиця Центральна, 10",UA05060010170069153,"Вінницька обл., Жмеринський р-н",,Відділ освіти Барської міської ради,(04341)36-2-36,,guli_scola@ukr.net,,Микитюк Володимир Григорович,Ні,Так,Ні,Ні,180
Комаровецька гімназія з дошкільним підрозділом Барської міської ради,135442,Так,Комаровецька гімназія,працює,навчально-виховний комплекс (об'єднання),Комунальна,0520282203,Вінницька область,"с. Комарівці, Барський район, Вінницька область","вулиця О. Щепанського, 5 а",UA05060010290079591,"Вінницька обл., Жмеринський р-н",,Відділ освіти Барської міської ради,(04341)33472,,komschkola@ukr.net,,Мацун Ольга Володимирівна,Ні,Так,Ні,Ні,180
Лиманський ліцей № 2 Лиманської міської ради Донецької області,135443,Так,Лиманський ліцей № 2,працює,ліцей,Комунальна,1413300000,Донецька область,"Лиман, Донецька область","вулиця Пушкіна, 13-А",UA14120110010088407,Донецька обл.,,"Управління освіти, молоді та спорту Лиманської міської ради",(06261)42334,,krscl@ukr.net,http://klyman-zosh2.dn.sch.in.ua,Войт Вадим Анатолійович,Ні,Ні,Ні,Ні,
Лиманський ліцей № 1 Лиманської міської ради Донецької області,135444,Так,Лиманський ліцей № 1,працює,ліцей,Комунальна,1413300000,Донецька область,"Лиман, Донецька область","вулиця Незалежності, 44",UA14120110010088407,Донецька обл.,,"Управління освіти, молоді та спорту Лиманської міської ради",(06261)42576,,gkrlim@ukr.net,http://gimnasia.dn.ua,Ломако Олександр Віталійович,Ні,Ні,Ні,Ні,390
М'якеньківська гімназія з дошкільним підрозділом Решетилівської міської ради Полтавської області,135445,Так,М'якеньківська гімназія з дошкільним підрозділом,працює,школа,Комунальна,5324282601,Полтавська область,"с. М'якеньківка, Решетилівський район, Полтавська область","вулиця Центральна, 7",UA53080390440069301,"Полтавська обл., Полтавський р-н",,Відділ освіти Решетилівської міської ради Полтавської області,(0536)396632,,miaken@ukr.net,,Тернієвська Олена Олексіївна,Ні,Так,Ні,Ні,104
Барський ліцей №3 Барської міської ради,135446,Так,Барський ліцей №3,працює,школа,Комунальна,0520210100,Вінницька область,"Бар, Барський район, Вінницька область","вулиця Соборна, 20/2",UA05060010010059821,"Вінницька обл., Жмеринський р-н",,Відділ освіти Барської міської ради,"(04341)2-16-32, (04341)2-25-65",,bar_zoch3@ukr.net,http://sch3.baredu.vn.ua,Піддубний Михайло Іванович,Ні,Ні,Ні,Ні,800
